 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |   13963 |    66724 |       9.6 |       9.6 | +3.18723e+09 | +4.60476e+09
      1 |   13978 |    57842 |      16.1 |      25.7 | +4.23303e+09 | +5.14177e+09
      2 |   18599 |    72187 |      17.5 |      43.3 | +4.59168e+09 | +5.21773e+09
      3 |   24249 |    94643 |      17.8 |      61.1 | +4.69930e+09 | +5.32762e+09
      4 |   31125 |   124347 |      21.5 |      82.6 | +4.77346e+09 | +5.44545e+09
      5 |   39771 |   162379 |      27.2 |     109.8 | +4.82123e+09 | +5.52913e+09
      6 |   49296 |   206096 |      33.2 |     143.1 | +4.86009e+09 | +5.53930e+09
      7 |   59426 |   253607 |      41.0 |     184.1 | +4.88747e+09 | +5.57688e+09
      8 |   71222 |   310303 |      50.6 |     234.6 | +4.91278e+09 | +5.60418e+09

Solution completed. Time to solve: 270.7 s
