 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |   13963 |    66724 |       9.6 |       9.6 |            - |            -
      1 |   13978 |    57842 |      16.1 |      25.7 |            - |            -
      2 |   18599 |    72187 |      17.5 |      43.3 |            - |            -
      3 |   24249 |    94643 |      17.8 |      61.1 |            - |            -
      4 |   31125 |   124347 |      21.5 |      82.6 |            - |            -
      5 |   39771 |   162379 |      27.2 |     109.8 | +3.38916e-01 | +1.67182e-01
      6 |   49296 |   206096 |      33.2 |     143.1 | +1.29023e-01 | +7.17652e-02
      7 |   59426 |   253607 |      41.0 |     184.1 | +6.05210e-02 | +6.44010e-02
      8 |   71222 |   310303 |      50.6 |     234.6 | +4.34528e-02 | +4.93487e-02

Solution completed. Time to solve: 270.7 s
