 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |   13963 |    66724 |       9.6 |       9.6 |            - |            -
      1 |   13978 |    57842 |      16.1 |      25.7 |            - |            -
      2 |   18599 |    72187 |      17.5 |      43.3 |            - |            -
      3 |   24249 |    94643 |      17.8 |      61.1 |            - |            -
      4 |   31125 |   124347 |      21.5 |      82.6 |            - |            -
      5 |   39771 |   162379 |      27.2 |     109.8 | +1.63399e+09 | +9.24369e+08
      6 |   49296 |   206096 |      33.2 |     143.1 | +6.27065e+08 | +3.97529e+08
      7 |   59426 |   253607 |      41.0 |     184.1 | +2.95795e+08 | +3.59157e+08
      8 |   71222 |   310303 |      50.6 |     234.6 | +2.13474e+08 | +2.76559e+08

Solution completed. Time to solve: 270.7 s
