 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |   14070 |    67353 |       8.4 |       8.4 | +3.06531e+09 | +4.59997e+09
      1 |   13987 |    58083 |      14.5 |      22.9 | +4.23985e+09 | +5.02765e+09
      2 |   18340 |    71375 |      14.9 |      37.8 | +4.60245e+09 | +5.22978e+09
      3 |   24147 |    94218 |      17.1 |      54.9 | +4.73481e+09 | +5.35389e+09
      4 |   31242 |   124826 |      21.4 |      76.3 | +4.81056e+09 | +5.42608e+09
      5 |   39933 |   163060 |      28.0 |     104.4 | +4.85855e+09 | +5.49849e+09
      6 |   49558 |   206727 |      33.8 |     138.2 | +4.89614e+09 | +5.53647e+09
      7 |   59509 |   253837 |      41.7 |     179.9 | +4.92343e+09 | +5.57280e+09
      8 |   70584 |   307018 |      49.0 |     228.9 | +4.94581e+09 | +5.59181e+09

Solution completed. Time to solve: 264.2 s
