 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |   14070 |    67353 |       8.4 |       8.4 |            - |            -
      1 |   13987 |    58083 |      14.5 |      22.9 |            - |            -
      2 |   18340 |    71375 |      14.9 |      37.8 |            - |            -
      3 |   24147 |    94218 |      17.1 |      54.9 |            - |            -
      4 |   31242 |   124826 |      21.4 |      76.3 |            - |            -
      5 |   39933 |   163060 |      28.0 |     104.4 | +3.69090e-01 | +1.63411e-01
      6 |   49558 |   206727 |      33.8 |     138.2 | +1.34042e-01 | +9.19029e-02
      7 |   59509 |   253837 |      41.7 |     179.9 | +6.51937e-02 | +6.15521e-02
      8 |   70584 |   307018 |      49.0 |     228.9 | +4.26624e-02 | +4.25477e-02

Solution completed. Time to solve: 264.2 s
