 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |   14070 |    67353 |       8.4 |       8.4 |            - |            -
      1 |   13987 |    58083 |      14.5 |      22.9 |            - |            -
      2 |   18340 |    71375 |      14.9 |      37.8 |            - |            -
      3 |   24147 |    94218 |      17.1 |      54.9 |            - |            -
      4 |   31242 |   124826 |      21.4 |      76.3 |            - |            -
      5 |   39933 |   163060 |      28.0 |     104.4 | +1.79324e+09 | +8.98516e+08
      6 |   49558 |   206727 |      33.8 |     138.2 | +6.56290e+08 | +5.08818e+08
      7 |   59509 |   253837 |      41.7 |     179.9 | +3.20977e+08 | +3.43017e+08
      8 |   70584 |   307018 |      49.0 |     228.9 | +2.11000e+08 | +2.37918e+08

Solution completed. Time to solve: 264.2 s
