 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |   14077 |    67297 |       8.5 |       8.5 | +3.11654e+09 | +4.62101e+09
      1 |   14029 |    58033 |      14.5 |      23.0 | +4.20464e+09 | +5.11915e+09
      2 |   18395 |    71342 |      14.9 |      37.8 | +4.55117e+09 | +5.23990e+09
      3 |   24104 |    94126 |      16.8 |      54.6 | +4.68194e+09 | +5.34861e+09
      4 |   31158 |   124256 |      21.8 |      76.4 | +4.76449e+09 | +5.44301e+09
      5 |   39807 |   162472 |      27.5 |     103.9 | +4.81199e+09 | +5.54208e+09
      6 |   49457 |   206200 |      33.2 |     137.1 | +4.84773e+09 | +5.55304e+09
      7 |   59525 |   253579 |      40.7 |     177.7 | +4.87925e+09 | +5.57106e+09
      8 |   70573 |   307155 |      49.1 |     226.8 | +4.90062e+09 | +5.59164e+09

Solution completed. Time to solve: 260.8 s
