iter # | # nodes | #3D elem |  dt (s) |   t (s) |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad |              ground_plane |              ground_plane |              ground_plane |              ground_plane |              ground_plane
       |         |          |         |         |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane
     0 |   13982 |    66659 |     2.4 |     2.4 |              +2.81274e-13 |              -1.82210e-15 |              -3.15851e-15 |              +3.47879e-15 |              -2.03307e-13 |              -1.82210e-15 |              +1.08037e-13 |              -2.34011e-14 |              -2.44041e-17 |              -7.43433e-14 |              -3.15851e-15 |              -2.34011e-14 |              +1.09825e-13 |              -2.17319e-17 |              -7.46021e-14 |              +3.47879e-15 |              -2.44041e-17 |              -2.17319e-17 |              +3.01140e-14 |              -2.40128e-14 |              -2.03307e-13 |              -7.43433e-14 |              -7.46021e-14 |              -2.40128e-14 |              +2.73178e-13
     1 |   30097 |   124706 |    24.2 |    26.6 |              +5.28222e-13 |              -1.18121e-15 |              -1.04233e-14 |              +1.06701e-16 |              -4.62150e-13 |              -1.18121e-15 |              +1.37156e-13 |              -4.78134e-14 |              -1.26397e-17 |              -8.99166e-14 |              -1.04233e-14 |              -4.78134e-14 |              +1.42745e-13 |              -1.23522e-17 |              -8.56237e-14 |              +1.06701e-16 |              -1.26397e-17 |              -1.23522e-17 |              +5.02204e-14 |              -5.03337e-14 |              -4.62150e-13 |              -8.99166e-14 |              -8.56237e-14 |              -5.03337e-14 |              +6.36378e-13
     2 |   89123 |   408392 |    47.4 |    73.9 |              +9.70971e-13 |              -1.10365e-15 |              -1.01383e-14 |              -6.48184e-15 |              -9.25559e-13 |              -1.10365e-15 |              +1.35862e-13 |              -4.82480e-14 |              -1.24402e-17 |              -8.66664e-14 |              -1.01383e-14 |              -4.82480e-14 |              +1.41401e-13 |              -1.20856e-17 |              -8.26484e-14 |              -6.48184e-15 |              -1.24402e-17 |              -1.20856e-17 |              +5.82800e-14 |              -5.20972e-14 |              -9.25559e-13 |              -8.66664e-14 |              -8.26484e-14 |              -5.20972e-14 |              +1.11942e-12
     3 |  189112 |   895102 |    93.5 |   167.4 |              +1.01396e-12 |              -1.08680e-15 |              -1.00569e-14 |              -6.25399e-15 |              -9.91835e-13 |              -1.08680e-15 |              +1.35051e-13 |              -4.75519e-14 |              -1.25784e-17 |              -8.60106e-14 |              -1.00569e-14 |              -4.75519e-14 |              +1.40282e-13 |              -1.22268e-17 |              -8.22620e-14 |              -6.25399e-15 |              -1.25784e-17 |              -1.22268e-17 |              +5.72589e-14 |              -5.11848e-14 |              -9.91835e-13 |              -8.60106e-14 |              -8.22620e-14 |              -5.11848e-14 |              +1.20599e-12
     4 |  312094 |  1496073 |   164.9 |   332.3 |              +9.87897e-13 |              -1.09124e-15 |              -1.00150e-14 |              -6.03528e-15 |              -9.73904e-13 |              -1.09124e-15 |              +1.35446e-13 |              -4.77201e-14 |              -1.27076e-17 |              -8.62329e-14 |              -1.00150e-14 |              -4.77201e-14 |              +1.40954e-13 |              -1.23576e-17 |              -8.25768e-14 |              -6.03528e-15 |              -1.27076e-17 |              -1.23576e-17 |              +5.68503e-14 |              -5.09093e-14 |              -9.73904e-13 |              -8.62329e-14 |              -8.25768e-14 |              -5.09093e-14 |              +1.19587e-12
     5 |  512035 |  2495421 |   288.5 |   620.8 |              +9.66066e-13 |              -1.09655e-15 |              -9.97851e-15 |              -5.93237e-15 |              -9.54236e-13 |              -1.09655e-15 |              +1.35746e-13 |              -4.76861e-14 |              -1.28920e-17 |              -8.65903e-14 |              -9.97851e-15 |              -4.76861e-14 |              +1.41132e-13 |              -1.25281e-17 |              -8.29150e-14 |              -5.93237e-15 |              -1.28920e-17 |              -1.25281e-17 |              +5.67658e-14 |              -5.09373e-14 |              -9.54236e-13 |              -8.65903e-14 |              -8.29150e-14 |              -5.09373e-14 |              +1.17909e-12
     6 |  813494 |  4047704 |   505.4 |  1126.2 |              +9.56788e-13 |              -1.10321e-15 |              -9.99325e-15 |              -5.87306e-15 |              -9.43093e-13 |              -1.10321e-15 |              +1.36156e-13 |              -4.77580e-14 |              -1.30075e-17 |              -8.69462e-14 |              -9.99325e-15 |              -4.77580e-14 |              +1.41482e-13 |              -1.26410e-17 |              -8.32116e-14 |              -5.87306e-15 |              -1.30075e-17 |              -1.26410e-17 |              +5.68321e-14 |              -5.10424e-14 |              -9.43093e-13 |              -8.69462e-14 |              -8.32116e-14 |              -5.10424e-14 |              +1.16684e-12
     7 | 1279960 |  6435069 |   907.5 |  2033.7 |              +9.52040e-13 |              -1.10995e-15 |              -1.00131e-14 |              -5.84054e-15 |              -9.38006e-13 |              -1.10995e-15 |              +1.36444e-13 |              -4.78728e-14 |              -1.30748e-17 |              -8.72347e-14 |              -1.00131e-14 |              -4.78728e-14 |              +1.41738e-13 |              -1.27066e-17 |              -8.34023e-14 |              -5.84054e-15 |              -1.30748e-17 |              -1.27066e-17 |              +5.68821e-14 |              -5.11344e-14 |              -9.38006e-13 |              -8.72347e-14 |              -8.34023e-14 |              -5.11344e-14 |              +1.16217e-12
