iter # | # nodes | #3D elem |  dt (s) |   t (s) |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad |              ground_plane |              ground_plane |              ground_plane |              ground_plane |              ground_plane
       |         |          |         |         |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane
     0 |   13982 |    66659 |     2.4 |     2.4 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     1 |   30097 |   124706 |    24.2 |    26.6 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     2 |   89123 |   408392 |    47.4 |    73.9 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     3 |  189112 |   895102 |    93.5 |   167.4 |              +7.32682e-13 |              +7.35299e-16 |              +7.26484e-15 |              +9.96063e-15 |              +7.88528e-13 |              +7.35299e-16 |              +2.91190e-14 |              +2.48470e-14 |              +1.19639e-17 |              +1.55734e-14 |              +7.26484e-15 |              +2.48470e-14 |              +3.29195e-14 |              +9.64622e-18 |              +1.10215e-14 |              +9.96063e-15 |              +1.19639e-17 |              +9.64622e-18 |              +2.81660e-14 |              +2.80844e-14 |              +7.88528e-13 |              +1.55734e-14 |              +1.10215e-14 |              +2.80844e-14 |              +9.32809e-13
     4 |  312094 |  1496073 |   164.9 |   332.3 |              +4.85734e-13 |              +9.44082e-17 |              +4.08314e-16 |              +6.58854e-15 |              +5.29684e-13 |              +9.44082e-17 |              +2.10590e-15 |              +6.96162e-16 |              +2.67449e-19 |              +3.90600e-15 |              +4.08314e-16 |              +6.96162e-16 |              +2.46304e-15 |              +2.71981e-19 |              +3.36164e-15 |              +6.58854e-15 |              +2.67449e-19 |              +2.71981e-19 |              +8.05963e-15 |              +1.76352e-15 |              +5.29684e-13 |              +3.90600e-15 |              +3.36164e-15 |              +1.76352e-15 |              +5.69609e-13
     5 |  512035 |  2495421 |   288.5 |   620.8 |              +4.78896e-14 |              +1.68495e-17 |              +1.59822e-16 |              +5.49471e-16 |              +6.62760e-14 |              +1.68495e-17 |              +8.11396e-16 |              +6.96162e-16 |              +4.51843e-19 |              +6.55796e-16 |              +1.59822e-16 |              +6.96162e-16 |              +1.11899e-15 |              +4.42479e-19 |              +6.52972e-16 |              +5.49471e-16 |              +4.51843e-19 |              +4.42479e-19 |              +1.51415e-15 |              +1.18787e-15 |              +6.62760e-14 |              +6.55796e-16 |              +6.52972e-16 |              +1.18787e-15 |              +8.65658e-14
     6 |  813494 |  4047704 |   505.4 |  1126.2 |              +5.71678e-14 |              +1.64051e-17 |              +7.83924e-17 |              +3.80927e-16 |              +4.87417e-14 |              +1.64051e-17 |              +1.10544e-15 |              +2.06177e-16 |              +4.29113e-19 |              +9.35583e-16 |              +7.83924e-17 |              +2.06177e-16 |              +1.20015e-15 |              +4.14235e-19 |              +9.49553e-16 |              +3.80927e-16 |              +4.29113e-19 |              +4.14235e-19 |              +4.93039e-16 |              +2.75496e-16 |              +4.87417e-14 |              +9.35583e-16 |              +9.49553e-16 |              +2.75496e-16 |              +3.91511e-14
     7 | 1279960 |  6435069 |   907.5 |  2033.7 |              +3.58579e-14 |              +1.87089e-17 |              +3.65214e-17 |              +1.94750e-16 |              +3.58985e-14 |              +1.87089e-17 |              +9.98074e-16 |              +1.86694e-16 |              +3.67202e-19 |              +1.00181e-15 |              +3.65214e-17 |              +1.86694e-16 |              +7.83711e-16 |              +3.48938e-19 |              +8.25492e-16 |              +1.94750e-16 |              +3.67202e-19 |              +3.48938e-19 |              +1.16251e-16 |              +2.25072e-16 |              +3.58985e-14 |              +1.00181e-15 |              +8.25492e-16 |              +2.25072e-16 |              +3.36970e-14
