iter # | # nodes | #3D elem |  dt (s) |   t (s) |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad |              ground_plane |              ground_plane |              ground_plane |              ground_plane |              ground_plane
       |         |          |         |         |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane
     0 |   13982 |    66659 |     2.4 |     2.4 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     1 |   30097 |   124706 |    24.2 |    26.6 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     2 |   89123 |   408392 |    47.4 |    73.9 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     3 |  189112 |   895102 |    93.5 |   167.4 |              +7.22597e-01 |              +6.76570e-01 |              +7.22373e-01 |              +1.59269e+00 |              +7.95019e-01 |              +6.76570e-01 |              +2.15616e-01 |              +5.22523e-01 |              +9.51153e-01 |              +1.81063e-01 |              +7.22373e-01 |              +5.22523e-01 |              +2.34667e-01 |              +7.88944e-01 |              +1.33981e-01 |              +1.59269e+00 |              +9.51153e-01 |              +7.88944e-01 |              +4.91907e-01 |              +5.48686e-01 |              +7.95019e-01 |              +1.81063e-01 |              +1.33981e-01 |              +5.48686e-01 |              +7.73482e-01
     4 |  312094 |  1496073 |   164.9 |   332.3 |              +4.91684e-01 |              +8.65144e-02 |              +4.07701e-02 |              +1.09167e+00 |              +5.43877e-01 |              +8.65144e-02 |              +1.55478e-02 |              +1.45884e-02 |              +2.10463e-02 |              +4.52959e-02 |              +4.07701e-02 |              +1.45884e-02 |              +1.74741e-02 |              +2.20091e-02 |              +4.07092e-02 |              +1.09167e+00 |              +2.10463e-02 |              +2.20091e-02 |              +1.41769e-01 |              +3.46405e-02 |              +5.43877e-01 |              +4.52959e-02 |              +4.07092e-02 |              +3.46405e-02 |              +4.76313e-01
     5 |  512035 |  2495421 |   288.5 |   620.8 |              +4.95717e-02 |              +1.53659e-02 |              +1.60167e-02 |              +9.26225e-02 |              +6.94546e-02 |              +1.53659e-02 |              +5.97732e-03 |              +1.45988e-02 |              +3.50482e-02 |              +7.57355e-03 |              +1.60167e-02 |              +1.45988e-02 |              +7.92869e-03 |              +3.53188e-02 |              +7.87520e-03 |              +9.26225e-02 |              +3.50482e-02 |              +3.53188e-02 |              +2.66736e-02 |              +2.33203e-02 |              +6.94546e-02 |              +7.57355e-03 |              +7.87520e-03 |              +2.33203e-02 |              +7.34178e-02
     6 |  813494 |  4047704 |   505.4 |  1126.2 |              +5.97497e-02 |              +1.48704e-02 |              +7.84453e-03 |              +6.48601e-02 |              +5.16828e-02 |              +1.48704e-02 |              +8.11896e-03 |              +4.31711e-03 |              +3.29898e-02 |              +1.07605e-02 |              +7.84453e-03 |              +4.31711e-03 |              +8.48275e-03 |              +3.27692e-02 |              +1.14113e-02 |              +6.48601e-02 |              +3.29898e-02 |              +3.27692e-02 |              +8.67537e-03 |              +5.39740e-03 |              +5.16828e-02 |              +1.07605e-02 |              +1.14113e-02 |              +5.39740e-03 |              +3.35532e-02
     7 | 1279960 |  6435069 |   907.5 |  2033.7 |              +3.76643e-02 |              +1.68556e-02 |              +3.64735e-03 |              +3.33445e-02 |              +3.82711e-02 |              +1.68556e-02 |              +7.31487e-03 |              +3.89980e-03 |              +2.80846e-02 |              +1.14840e-02 |              +3.64735e-03 |              +3.89980e-03 |              +5.52931e-03 |              +2.74613e-02 |              +9.89771e-03 |              +3.33445e-02 |              +2.80846e-02 |              +2.74613e-02 |              +2.04373e-03 |              +4.40157e-03 |              +3.82711e-02 |              +1.14840e-02 |              +9.89771e-03 |              +4.40157e-03 |              +2.89947e-02
