,Q1_pad_bot,Q1_pad_top,ground_plane,open_to_ground_ind_stub,open_to_ground_launch_pad
Q1_pad_bot,142.39325246747754,-47.97094724376718,-84.01654708587915,-9.979639082216124,-0.012772768612995568
Q1_pad_top,-47.97094724376718,137.1639404639051,-87.81623988593171,-1.1021183208604797,-0.013137771921286632
ground_plane,-84.01654708587915,-87.81623988593171,1163.193899798542,-937.9144355377069,-51.14298784031326
open_to_ground_ind_stub,-9.979639082216124,-1.1021183208604797,-937.9144355377069,951.97979710237,-5.843538111596603
open_to_ground_launch_pad,-0.012772768612995568,-0.013137771921286632,-51.14298784031326,-5.843538111596603,56.89383748478903
