iter # | # nodes | #3D elem |  dt (s) |   t (s) |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad |              ground_plane |              ground_plane |              ground_plane |              ground_plane |              ground_plane
       |         |          |         |         |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane
     0 |   14025 |    66738 |     2.4 |     2.4 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     1 |   30676 |   126416 |    25.2 |    27.6 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     2 |   88999 |   402558 |    47.6 |    75.1 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     3 |  184879 |   869297 |    92.8 |   168.0 |              +7.53661e-13 |              +8.90771e-16 |              +4.65839e-15 |              +1.05928e-14 |              +8.02147e-13 |              +8.90771e-16 |              +3.65243e-14 |              +2.82453e-14 |              +1.23055e-17 |              +1.38720e-14 |              +4.65839e-15 |              +2.82453e-14 |              +3.03087e-14 |              +9.88845e-18 |              +7.65120e-15 |              +1.05928e-14 |              +1.23055e-17 |              +9.88845e-18 |              +2.21305e-14 |              +2.48182e-14 |              +8.02147e-13 |              +1.38720e-14 |              +7.65120e-15 |              +2.48182e-14 |              +9.26981e-13
     4 |  310375 |  1485265 |   174.3 |   342.2 |              +3.81444e-13 |              +7.75540e-17 |              +4.60314e-16 |              +6.58514e-15 |              +4.50180e-13 |              +7.75540e-17 |              +2.46890e-15 |              +6.90467e-16 |              +3.68124e-19 |              +3.04239e-15 |              +4.60314e-16 |              +6.90467e-16 |              +1.21050e-15 |              +3.70805e-19 |              +3.07210e-15 |              +6.58514e-15 |              +3.68124e-19 |              +3.70805e-19 |              +8.76435e-15 |              +1.47279e-15 |              +4.50180e-13 |              +3.04239e-15 |              +3.07210e-15 |              +1.47279e-15 |              +5.11919e-13
     5 |  509470 |  2481672 |   293.6 |   635.8 |              +4.33587e-14 |              +1.49465e-17 |              +1.80491e-16 |              +4.40065e-16 |              +4.39175e-14 |              +1.49465e-17 |              +7.26564e-16 |              +5.55104e-16 |              +4.81279e-19 |              +4.59538e-16 |              +1.80491e-16 |              +5.55104e-16 |              +6.73222e-16 |              +4.84947e-19 |              +4.88347e-16 |              +4.40065e-16 |              +4.81279e-19 |              +4.84947e-19 |              +1.45377e-15 |              +1.47279e-15 |              +4.39175e-14 |              +4.59538e-16 |              +4.88347e-16 |              +1.47279e-15 |              +6.62564e-14
     6 |  809586 |  4026462 |   498.4 |  1134.2 |              +5.38269e-14 |              +2.33385e-17 |              +1.93256e-17 |              +3.91893e-16 |              +4.69755e-14 |              +2.33385e-17 |              +8.41868e-16 |              +7.34874e-17 |              +4.43606e-19 |              +7.53914e-16 |              +1.93256e-17 |              +7.34874e-17 |              +8.10272e-16 |              +4.20170e-19 |              +7.77580e-16 |              +3.91893e-16 |              +4.43606e-19 |              +4.20170e-19 |              +4.43363e-16 |              +2.16534e-16 |              +4.69755e-14 |              +7.53914e-16 |              +7.77580e-16 |              +2.16534e-16 |              +3.90367e-14
     7 | 1274105 |  6406157 |   860.5 |  1994.7 |              +3.54120e-14 |              +1.99790e-17 |              +2.59773e-17 |              +2.28930e-16 |              +3.52464e-14 |              +1.99790e-17 |              +7.93264e-16 |              +1.85606e-16 |              +3.75659e-19 |              +8.82035e-16 |              +2.59773e-17 |              +1.85606e-16 |              +8.92986e-16 |              +3.59733e-19 |              +9.39240e-16 |              +2.28930e-16 |              +3.75659e-19 |              +3.59733e-19 |              +1.16211e-16 |              +2.29395e-16 |              +3.52464e-14 |              +8.82035e-16 |              +9.39240e-16 |              +2.29395e-16 |              +3.26310e-14
