iter # | # nodes | #3D elem |  dt (s) |   t (s) |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad |              ground_plane |              ground_plane |              ground_plane |              ground_plane |              ground_plane
       |         |          |         |         |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane
     0 |   13991 |    66736 |     2.4 |     2.4 |              +2.66461e-13 |              -1.87376e-15 |              -2.97540e-15 |              +1.02136e-15 |              -1.92599e-13 |              -1.87376e-15 |              +1.07215e-13 |              -2.37271e-14 |              -2.49074e-17 |              -7.33543e-14 |              -2.97540e-15 |              -2.37271e-14 |              +1.11512e-13 |              -2.19012e-17 |              -7.91421e-14 |              +1.02136e-15 |              -2.49074e-17 |              -2.19012e-17 |              +2.85208e-14 |              -1.91288e-14 |              -1.92599e-13 |              -7.33543e-14 |              -7.91421e-14 |              -1.91288e-14 |              +2.69942e-13
     1 |   30138 |   124699 |    23.7 |    26.1 |              +6.32523e-13 |              -1.19274e-15 |              -1.02895e-14 |              -8.91204e-16 |              -5.33932e-13 |              -1.19274e-15 |              +1.38977e-13 |              -4.82645e-14 |              -1.25203e-17 |              -9.09782e-14 |              -1.02895e-14 |              -4.82645e-14 |              +1.42610e-13 |              -1.21175e-17 |              -8.62015e-14 |              -8.91204e-16 |              -1.25203e-17 |              -1.21175e-17 |              +4.80855e-14 |              -4.83774e-14 |              -5.33932e-13 |              -9.09782e-14 |              -8.62015e-14 |              -4.83774e-14 |              +6.78108e-13
     2 |   88543 |   402375 |    45.7 |    71.8 |              +9.80669e-13 |              -1.09450e-15 |              -1.00826e-14 |              -6.52875e-15 |              -9.33435e-13 |              -1.09450e-15 |              +1.37226e-13 |              -4.87871e-14 |              -1.25090e-17 |              -8.73479e-14 |              -1.00826e-14 |              -4.87871e-14 |              +1.42818e-13 |              -1.21655e-17 |              -8.36000e-14 |              -6.52875e-15 |              -1.25090e-17 |              -1.21655e-17 |              +5.80605e-14 |              -5.20841e-14 |              -9.33435e-13 |              -8.73479e-14 |              -8.36000e-14 |              -5.20841e-14 |              +1.12720e-12
     3 |  184822 |   870756 |    91.6 |   163.4 |              +1.01034e-12 |              -1.08025e-15 |              -9.97462e-15 |              -6.29499e-15 |              -9.88723e-13 |              -1.08025e-15 |              +1.36476e-13 |              -4.80934e-14 |              -1.26294e-17 |              -8.66680e-14 |              -9.97462e-15 |              -4.80934e-14 |              +1.41626e-13 |              -1.22828e-17 |              -8.30759e-14 |              -6.29499e-15 |              -1.26294e-17 |              -1.22828e-17 |              +5.73127e-14 |              -5.10835e-14 |              -9.88723e-13 |              -8.66680e-14 |              -8.30759e-14 |              -5.10835e-14 |              +1.20429e-12
     4 |  309337 |  1481361 |   167.3 |   330.8 |              +9.87447e-13 |              -1.08715e-15 |              -9.95953e-15 |              -6.04784e-15 |              -9.73017e-13 |              -1.08715e-15 |              +1.36672e-13 |              -4.81131e-14 |              -1.27869e-17 |              -8.71203e-14 |              -9.95953e-15 |              -4.81131e-14 |              +1.42195e-13 |              -1.24328e-17 |              -8.32704e-14 |              -6.04784e-15 |              -1.27869e-17 |              -1.24328e-17 |              +5.68741e-14 |              -5.09152e-14 |              -9.73017e-13 |              -8.71203e-14 |              -8.32704e-14 |              -5.09152e-14 |              +1.19592e-12
     5 |  507542 |  2470760 |   299.6 |   630.3 |              +9.66383e-13 |              -1.09488e-15 |              -9.96502e-15 |              -5.93892e-15 |              -9.53832e-13 |              -1.09488e-15 |              +1.37057e-13 |              -4.81435e-14 |              -1.29449e-17 |              -8.74527e-14 |              -9.96502e-15 |              -4.81435e-14 |              +1.42410e-13 |              -1.25872e-17 |              -8.36500e-14 |              -5.93892e-15 |              -1.29449e-17 |              -1.25872e-17 |              +5.67953e-14 |              -5.09499e-14 |              -9.53832e-13 |              -8.74527e-14 |              -8.36500e-14 |              -5.09499e-14 |              +1.17946e-12
     6 |  808499 |  4021796 |   523.4 |  1153.8 |              +9.56469e-13 |              -1.10195e-15 |              -9.96428e-15 |              -5.89177e-15 |              -9.42578e-13 |              -1.10195e-15 |              +1.37379e-13 |              -4.82043e-14 |              -1.30472e-17 |              -8.77439e-14 |              -9.96428e-15 |              -4.82043e-14 |              +1.42560e-13 |              -1.26864e-17 |              -8.39404e-14 |              -5.89177e-15 |              -1.30472e-17 |              -1.26864e-17 |              +5.68111e-14 |              -5.10641e-14 |              -9.42578e-13 |              -8.77439e-14 |              -8.39404e-14 |              -5.10641e-14 |              +1.16781e-12
     7 | 1270773 |  6387711 |   899.3 |  2053.0 |              +9.51675e-13 |              -1.10766e-15 |              -9.97477e-15 |              -5.83925e-15 |              -9.37815e-13 |              -1.10766e-15 |              +1.37687e-13 |              -4.82986e-14 |              -1.31746e-17 |              -8.80030e-14 |              -9.97477e-15 |              -4.82986e-14 |              +1.42877e-13 |              -1.28069e-17 |              -8.42099e-14 |              -5.83925e-15 |              -1.31746e-17 |              -1.28069e-17 |              +5.68985e-14 |              -5.11389e-14 |              -9.37815e-13 |              -8.80030e-14 |              -8.42099e-14 |              -5.11389e-14 |              +1.16369e-12
