,Q1_pad_bot,Q1_pad_top,ground_plane,open_to_ground_ind_stub,open_to_ground_launch_pad
Q1_pad_bot,142.87694311758256,-48.29858233714897,-84.2099349471401,-9.97476607546292,-0.012806940458755016
Q1_pad_top,-48.29858233714897,137.6871595803393,-88.00297737346763,-1.1076576077072182,-0.013174557633847497
ground_plane,-84.2099349471401,-88.00297737346763,1163.6879171153746,-937.8148425737558,-51.138864590716935
open_to_ground_ind_stub,-9.97476607546292,-1.1076576077072182,-937.8148425737558,951.6752289440127,-5.8392524088365585
open_to_ground_launch_pad,-0.012806940458755016,-0.013174557633847497,-51.138864590716935,-5.8392524088365585,56.898470083442156
