iter # | # nodes | #3D elem |  dt (s) |   t (s) |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad |              ground_plane |              ground_plane |              ground_plane |              ground_plane |              ground_plane
       |         |          |         |         |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane
     0 |   14000 |    66584 |     2.3 |     2.3 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     1 |   30045 |   124814 |    23.9 |    26.2 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     2 |   86107 |   390005 |    45.1 |    71.2 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     3 |  181477 |   853065 |    90.9 |   162.1 |              +7.06516e-01 |              +8.43991e-01 |              +6.69923e-01 |              +1.57409e+00 |              +7.88868e-01 |              +8.43991e-01 |              +2.31698e-01 |              +6.11175e-01 |              +1.01259e+00 |              +1.84521e-01 |              +6.69923e-01 |              +6.11175e-01 |              +2.23277e-01 |              +8.22160e-01 |              +9.04427e-02 |              +1.57409e+00 |              +1.01259e+00 |              +8.22160e-01 |              +6.79494e-01 |              +6.83725e-01 |              +7.88868e-01 |              +1.84521e-01 |              +9.04427e-02 |              +6.83725e-01 |              +7.73214e-01
     4 |  306303 |  1466774 |   158.2 |   320.3 |              +3.61051e-01 |              +8.18650e-02 |              +3.00822e-02 |              +1.18946e+00 |              +4.28570e-01 |              +8.18650e-02 |              +6.30949e-03 |              +3.08458e-02 |              +3.15550e-02 |              +4.82514e-02 |              +3.00822e-02 |              +3.08458e-02 |              +1.18230e-02 |              +3.14758e-02 |              +4.83671e-02 |              +1.18946e+00 |              +3.15550e-02 |              +3.14758e-02 |              +1.20126e-01 |              +5.93194e-02 |              +4.28570e-01 |              +4.82514e-02 |              +4.83671e-02 |              +5.93194e-02 |              +3.97838e-01
     5 |  508534 |  2478608 |   273.8 |   594.2 |              +4.46356e-02 |              +1.51749e-02 |              +2.99718e-02 |              +6.10256e-02 |              +5.49858e-02 |              +1.51749e-02 |              +6.28980e-03 |              +1.76040e-02 |              +3.87471e-02 |              +5.03273e-03 |              +2.99718e-02 |              +1.76040e-02 |              +7.91401e-03 |              +3.81845e-02 |              +6.41810e-03 |              +6.10256e-02 |              +3.87471e-02 |              +3.81845e-02 |              +2.37476e-02 |              +2.44365e-02 |              +5.49858e-02 |              +5.03273e-03 |              +6.41810e-03 |              +2.44365e-02 |              +6.26370e-02
     6 |  805428 |  4004987 |   513.9 |  1108.1 |              +5.57294e-02 |              +1.77018e-02 |              +8.75637e-03 |              +7.05049e-02 |              +4.70698e-02 |              +1.77018e-02 |              +6.80702e-03 |              +2.01814e-03 |              +3.15062e-02 |              +7.75030e-03 |              +8.75637e-03 |              +2.01814e-03 |              +4.10685e-03 |              +3.09534e-02 |              +8.01833e-03 |              +7.05049e-02 |              +3.15062e-02 |              +3.09534e-02 |              +8.26983e-03 |              +4.09588e-03 |              +4.70698e-02 |              +7.75030e-03 |              +8.01833e-03 |              +4.09588e-03 |              +2.97263e-02
     7 | 1269161 |  6381512 |   903.5 |  2011.5 |              +3.83015e-02 |              +1.63218e-02 |              +4.66104e-03 |              +3.88686e-02 |              +3.77790e-02 |              +1.63218e-02 |              +8.42030e-03 |              +4.22285e-03 |              +2.52483e-02 |              +1.03410e-02 |              +4.66104e-03 |              +4.22285e-03 |              +5.05409e-03 |              +2.43107e-02 |              +9.70831e-03 |              +3.88686e-02 |              +2.52483e-02 |              +2.43107e-02 |              +2.58414e-03 |              +3.49855e-03 |              +3.77790e-02 |              +1.03410e-02 |              +9.70831e-03 |              +3.49855e-03 |              +2.77168e-02
