,Q1_pad_bot,Q1_pad_top,ground_plane
Q1_pad_bot,139.23405402533467,-48.959594025711176,-89.48056995221536
Q1_pad_top,-48.959594025711176,134.52832870814666,-84.94572073716418
ground_plane,-89.48056995221536,-84.94572073716418,173.00938663923748
