iter # | # nodes | #3D elem |  dt (s) |   t (s) |   Q1_pad_top |   Q1_pad_top |   Q1_pad_top |   Q1_pad_bot |   Q1_pad_bot |   Q1_pad_bot | ground_plane | ground_plane | ground_plane
       |         |          |         |         |   Q1_pad_top |   Q1_pad_bot | ground_plane |   Q1_pad_top |   Q1_pad_bot | ground_plane |   Q1_pad_top |   Q1_pad_bot | ground_plane
     0 |    3083 |    13978 |     0.4 |     0.4 |            - |            - |            - |            - |            - |            - |            - |            - |            -
     1 |    4971 |    21460 |     4.3 |     4.7 |            - |            - |            - |            - |            - |            - |            - |            - |            -
     2 |    8971 |    40121 |     5.1 |     9.8 |            - |            - |            - |            - |            - |            - |            - |            - |            -
     3 |   13768 |    61669 |     6.9 |    16.7 | +2.21748e-01 | +5.37069e-01 | +1.84758e-01 | +5.37069e-01 | +2.59094e-01 | +2.13795e-01 | +1.84758e-01 | +2.13795e-01 | +3.18702e-01
     4 |   21176 |    96163 |    10.1 |    26.8 | +2.50059e-02 | +1.03978e-01 | +6.80837e-02 | +1.03978e-01 | +3.88474e-02 | +2.64826e-02 | +6.80837e-02 | +2.64826e-02 | +7.87953e-02
     5 |   31883 |   147023 |    14.4 |    41.3 | +2.52986e-02 | +5.46854e-02 | +3.02621e-02 | +5.46854e-02 | +2.97255e-02 | +2.63131e-02 | +3.02621e-02 | +2.63131e-02 | +4.42852e-02
     6 |   46350 |   216548 |    21.0 |    62.3 | +8.01461e-03 | +1.48326e-02 | +7.52515e-03 | +1.48326e-02 | +8.89186e-03 | +5.21979e-03 | +7.52515e-03 | +5.21979e-03 | +8.69424e-03
