iter # | # nodes | #3D elem |  dt (s) |   t (s) |   Q1_pad_top |   Q1_pad_top |   Q1_pad_top |   Q1_pad_bot |   Q1_pad_bot |   Q1_pad_bot | ground_plane | ground_plane | ground_plane
       |         |          |         |         |   Q1_pad_top |   Q1_pad_bot | ground_plane |   Q1_pad_top |   Q1_pad_bot | ground_plane |   Q1_pad_top |   Q1_pad_bot | ground_plane
     0 |    3083 |    13978 |     0.4 |     0.4 | +1.07212e-13 | -2.48618e-14 | -7.51001e-14 | -2.48618e-14 | +1.06752e-13 | -7.24880e-14 | -7.51001e-14 | -7.24880e-14 | +1.30937e-13
     1 |    4971 |    21460 |     4.3 |     4.7 | +1.33689e-13 | -4.63555e-14 | -9.08196e-14 | -4.63555e-14 | +1.37662e-13 | -9.16657e-14 | -9.08196e-14 | -9.16657e-14 | +1.86330e-13
     2 |    8971 |    40121 |     5.1 |     9.8 | +1.37059e-13 | -5.14526e-14 | -8.69974e-14 | -5.14526e-14 | +1.43071e-13 | -9.15827e-14 | -8.69974e-14 | -9.15827e-14 | +1.79935e-13
     3 |   13768 |    61669 |     6.9 |    16.7 | +1.34600e-13 | -4.95110e-14 | -8.50812e-14 | -4.95110e-14 | +1.40179e-13 | -8.97017e-14 | -8.50812e-14 | -8.97017e-14 | +1.73809e-13
     4 |   21176 |    96163 |    10.1 |    26.8 | +1.34755e-13 | -4.90208e-14 | -8.50304e-14 | -4.90208e-14 | +1.39228e-13 | -8.93008e-14 | -8.50304e-14 | -8.93008e-14 | +1.72720e-13
     5 |   31883 |   147023 |    14.4 |    41.3 | +1.33677e-13 | -4.87848e-14 | -8.44420e-14 | -4.87848e-14 | +1.38941e-13 | -8.92347e-14 | -8.44420e-14 | -8.92347e-14 | +1.72305e-13
     6 |   46350 |   216548 |    21.0 |    62.3 | +1.34528e-13 | -4.89596e-14 | -8.49457e-14 | -4.89596e-14 | +1.39234e-13 | -8.94806e-14 | -8.49457e-14 | -8.94806e-14 | +1.73009e-13
