 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |   14140 |    67712 |       8.7 |       8.7 |            - |            -
      1 |   14098 |    58512 |      15.1 |      23.7 |            - |            -
      2 |   18526 |    72265 |      14.9 |      38.6 |            - |            -
      3 |   24260 |    94792 |      18.5 |      57.2 |            - |            -
      4 |   31373 |   125285 |      21.8 |      78.9 |            - |            -
      5 |   40045 |   163544 |      27.1 |     106.1 | +1.64953e+09 | +8.67729e+08
      6 |   49566 |   207417 |      35.2 |     141.3 | +6.15965e+08 | +4.46579e+08
      7 |   59775 |   255291 |      41.4 |     182.7 | +3.18675e+08 | +3.17194e+08
      8 |   71607 |   312661 |      51.9 |     234.6 | +2.09271e+08 | +2.20827e+08

Solution completed. Time to solve: 269.9 s
