 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |   14140 |    67712 |       8.7 |       8.7 |            - |            -
      1 |   14098 |    58512 |      15.1 |      23.7 |            - |            -
      2 |   18526 |    72265 |      14.9 |      38.6 |            - |            -
      3 |   24260 |    94792 |      18.5 |      57.2 |            - |            -
      4 |   31373 |   125285 |      21.8 |      78.9 |            - |            -
      5 |   40045 |   163544 |      27.1 |     106.1 | +3.39414e-01 | +1.57289e-01
      6 |   49566 |   207417 |      35.2 |     141.3 | +1.25850e-01 | +8.04212e-02
      7 |   59775 |   255291 |      41.4 |     182.7 | +6.47291e-02 | +5.69701e-02
      8 |   71607 |   312661 |      51.9 |     234.6 | +4.22877e-02 | +3.94907e-02

Solution completed. Time to solve: 269.9 s
