iter # | # nodes | #3D elem |  dt (s) |   t (s) |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad |              ground_plane |              ground_plane |              ground_plane |              ground_plane |              ground_plane
       |         |          |         |         |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane
     0 |   14027 |    66880 |     2.3 |     2.3 |              +3.02377e-13 |              -2.03813e-15 |              -2.26573e-15 |              +1.80226e-15 |              -2.14268e-13 |              -2.03813e-15 |              +1.04744e-13 |              -2.15765e-14 |              -2.27459e-17 |              -7.29003e-14 |              -2.26573e-15 |              -2.15765e-14 |              +1.03897e-13 |              -2.05746e-17 |              -7.42566e-14 |              +1.80226e-15 |              -2.27459e-17 |              -2.05746e-17 |              +3.31043e-14 |              -2.81474e-14 |              -2.14268e-13 |              -7.29003e-14 |              -7.42566e-14 |              -2.81474e-14 |              +2.83266e-13
     1 |   30334 |   126507 |    24.4 |    26.7 |              +7.10092e-13 |              -1.20686e-15 |              -9.95097e-15 |              -5.29168e-16 |              -5.88317e-13 |              -1.20686e-15 |              +1.27234e-13 |              -4.50480e-14 |              -1.18765e-17 |              -8.25722e-14 |              -9.95097e-15 |              -4.50480e-14 |              +1.32605e-13 |              -1.15436e-17 |              -7.86924e-14 |              -5.29168e-16 |              -1.18765e-17 |              -1.15436e-17 |              +5.14962e-14 |              -5.15667e-14 |              -5.88317e-13 |              -8.25722e-14 |              -7.86924e-14 |              -5.15667e-14 |              +6.94386e-13
     2 |   85340 |   394178 |    44.4 |    71.1 |              +9.34871e-13 |              -1.14137e-15 |              -1.03229e-14 |              -6.56812e-15 |              -8.87966e-13 |              -1.14137e-15 |              +1.27143e-13 |              -4.55857e-14 |              -1.18999e-17 |              -8.01188e-14 |              -1.03229e-14 |              -4.55857e-14 |              +1.32435e-13 |              -1.15155e-17 |              -7.63586e-14 |              -6.56812e-15 |              -1.18999e-17 |              -1.15155e-17 |              +5.82719e-14 |              -5.20165e-14 |              -8.87966e-13 |              -8.01188e-14 |              -7.63586e-14 |              -5.20165e-14 |              +1.06748e-12
     3 |  201499 |   968370 |    94.6 |   165.7 |              +1.01216e-12 |              -1.12221e-15 |              -1.01571e-14 |              -6.23878e-15 |              -9.91426e-13 |              -1.12221e-15 |              +1.26223e-13 |              -4.50067e-14 |              -1.20163e-17 |              -7.98475e-14 |              -1.01571e-14 |              -4.50067e-14 |              +1.31955e-13 |              -1.16430e-17 |              -7.59631e-14 |              -6.23878e-15 |              -1.20163e-17 |              -1.16430e-17 |              +5.71120e-14 |              -5.10298e-14 |              -9.91426e-13 |              -7.98475e-14 |              -7.59631e-14 |              -5.10298e-14 |              +1.19418e-12
     4 |  317335 |  1523780 |   174.4 |   340.1 |              +9.87950e-13 |              -1.12828e-15 |              -1.01650e-14 |              -6.00698e-15 |              -9.74308e-13 |              -1.12828e-15 |              +1.26494e-13 |              -4.50107e-14 |              -1.21773e-17 |              -8.00240e-14 |              -1.01650e-14 |              -4.50107e-14 |              +1.32059e-13 |              -1.17907e-17 |              -7.62365e-14 |              -6.00698e-15 |              -1.21773e-17 |              -1.17907e-17 |              +5.67843e-14 |              -5.08256e-14 |              -9.74308e-13 |              -8.00240e-14 |              -7.62365e-14 |              -5.08256e-14 |              +1.18417e-12
     5 |  513982 |  2503127 |   286.4 |   626.5 |              +9.66962e-13 |              -1.13548e-15 |              -1.01317e-14 |              -5.93514e-15 |              -9.54617e-13 |              -1.13548e-15 |              +1.27040e-13 |              -4.50795e-14 |              -1.22886e-17 |              -8.04431e-14 |              -1.01317e-14 |              -4.50795e-14 |              +1.32275e-13 |              -1.18827e-17 |              -7.64422e-14 |              -5.93514e-15 |              -1.22886e-17 |              -1.18827e-17 |              +5.67235e-14 |              -5.09143e-14 |              -9.54617e-13 |              -8.04431e-14 |              -7.64422e-14 |              -5.09143e-14 |              +1.16644e-12
     6 |  815085 |  4054052 |   502.6 |  1129.1 |              +9.56416e-13 |              -1.14274e-15 |              -1.01391e-14 |              -5.86742e-15 |              -9.42836e-13 |              -1.14274e-15 |              +1.27270e-13 |              -4.51730e-14 |              -1.24006e-17 |              -8.06793e-14 |              -1.01391e-14 |              -4.51730e-14 |              +1.32635e-13 |              -1.19972e-17 |              -7.67413e-14 |              -5.86742e-15 |              -1.24006e-17 |              -1.19972e-17 |              +5.67718e-14 |              -5.10428e-14 |              -9.42836e-13 |              -8.06793e-14 |              -7.67413e-14 |              -5.10428e-14 |              +1.15420e-12
     7 | 1279746 |  6432534 |   844.4 |  1973.5 |              +9.52310e-13 |              -1.14982e-15 |              -1.01740e-14 |              -5.83390e-15 |              -9.38285e-13 |              -1.14982e-15 |              +1.27575e-13 |              -4.52478e-14 |              -1.25187e-17 |              -8.09344e-14 |              -1.01740e-14 |              -4.52478e-14 |              +1.32904e-13 |              -1.21164e-17 |              -7.70494e-14 |              -5.83390e-15 |              -1.25187e-17 |              -1.21164e-17 |              +5.68686e-14 |              -5.11322e-14 |              -9.38285e-13 |              -8.09344e-14 |              -7.70494e-14 |              -5.11322e-14 |              +1.15001e-12
