,Q1_pad_bot,Q1_pad_top,ground_plane,open_to_ground_ind_stub,open_to_ground_launch_pad
Q1_pad_bot,132.9035762247549,-45.247833326153255,-77.04944726669694,-10.173984130993393,-0.012116431166530493
Q1_pad_top,-45.247833326153255,127.57499276225002,-80.93439407210735,-1.1498168211017858,-0.012518711451718033
ground_plane,-77.04944726669694,-80.93439407210735,1150.006027240127,-938.2854561247067,-51.132223055023935
open_to_ground_ind_stub,-10.173984130993393,-1.1498168211017858,-938.2854561247067,952.310229069903,-5.833903983759971
open_to_ground_launch_pad,-0.012116431166530493,-0.012518711451718033,-51.132223055023935,-5.833903983759971,56.86856256248996
