 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |   14005 |    67003 |       8.8 |       8.8 |            - |            -
      1 |   14028 |    58080 |      14.3 |      23.1 |            - |            -
      2 |   18509 |    71752 |      15.0 |      38.1 |            - |            -
      3 |   24177 |    94366 |      17.5 |      55.7 |            - |            -
      4 |   31282 |   124609 |      21.7 |      77.4 |            - |            -
      5 |   39926 |   163011 |      27.3 |     104.7 | +1.77015e+09 | +9.13130e+08
      6 |   49669 |   207477 |      34.2 |     138.9 | +6.35027e+08 | +4.32501e+08
      7 |   59544 |   254092 |      42.0 |     180.9 | +3.11112e+08 | +2.99526e+08
      8 |   70995 |   309551 |      49.7 |     230.6 | +2.14512e+08 | +2.45610e+08

Solution completed. Time to solve: 265.6 s
