 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |   14005 |    67003 |       8.8 |       8.8 | +3.09746e+09 | +4.59217e+09
      1 |   14028 |    58080 |      14.3 |      23.1 | +4.26756e+09 | +5.11496e+09
      2 |   18509 |    71752 |      15.0 |      38.1 | +4.62347e+09 | +5.27454e+09
      3 |   24177 |    94366 |      17.5 |      55.7 | +4.74489e+09 | +5.34386e+09
      4 |   31282 |   124609 |      21.7 |      77.4 | +4.81959e+09 | +5.48038e+09
      5 |   39926 |   163011 |      27.3 |     104.7 | +4.86761e+09 | +5.50529e+09
      6 |   49669 |   207477 |      34.2 |     138.9 | +4.90259e+09 | +5.54746e+09
      7 |   59544 |   254092 |      42.0 |     180.9 | +4.93458e+09 | +5.57407e+09
      8 |   70995 |   309551 |      49.7 |     230.6 | +4.95940e+09 | +5.58947e+09

Solution completed. Time to solve: 265.6 s
