 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |   14046 |    67156 |     343.1 |     343.1 | +2.98479e+09 | +4.69625e+09
      1 |   13964 |    57863 |      14.7 |     357.8 | +4.22659e+09 | +5.18480e+09
      2 |   18461 |    71855 |      14.7 |     372.5 | +4.59141e+09 | +5.21164e+09
      3 |   24053 |    93846 |      17.5 |     390.0 | +4.71608e+09 | +5.37617e+09
      4 |   30957 |   123653 |      21.5 |     411.4 | +4.78535e+09 | +5.44700e+09
      5 |   39482 |   161263 |      27.2 |     438.6 | +4.83356e+09 | +5.51562e+09
      6 |   49009 |   204545 |      35.5 |     474.2 | +4.86848e+09 | +5.55841e+09
      7 |   59314 |   252695 |      43.3 |     517.5 | +4.90087e+09 | +5.56899e+09
      8 |   71037 |   309925 |      48.9 |     566.4 | +4.92501e+09 | +5.59051e+09

Solution completed. Time to solve: 601.3 s
