 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |   14046 |    67156 |     343.1 |     343.1 |            - |            -
      1 |   13964 |    57863 |      14.7 |     357.8 |            - |            -
      2 |   18461 |    71855 |      14.7 |     372.5 |            - |            -
      3 |   24053 |    93846 |      17.5 |     390.0 |            - |            -
      4 |   30957 |   123653 |      21.5 |     411.4 |            - |            -
      5 |   39482 |   161263 |      27.2 |     438.6 | +3.82487e-01 | +1.48555e-01
      6 |   49009 |   204545 |      35.5 |     474.2 | +1.31846e-01 | +6.72164e-02
      7 |   59314 |   252695 |      43.3 |     517.5 | +6.31455e-02 | +6.41684e-02
      8 |   71037 |   309925 |      48.9 |     566.4 | +4.24220e-02 | +3.83399e-02

Solution completed. Time to solve: 601.3 s
