iter # | # nodes | #3D elem |  dt (s) |   t (s) |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad |              ground_plane |              ground_plane |              ground_plane |              ground_plane |              ground_plane
       |         |          |         |         |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane
     0 |   14043 |    66893 |     2.7 |     2.7 |              +2.67775e-13 |              -1.85190e-15 |              -1.38858e-15 |              +2.42728e-15 |              -1.91428e-13 |              -1.85190e-15 |              +1.03775e-13 |              -2.20826e-14 |              -2.58177e-17 |              -7.59320e-14 |              -1.38858e-15 |              -2.20826e-14 |              +1.17522e-13 |              -2.37478e-17 |              -8.18212e-14 |              +2.42728e-15 |              -2.58177e-17 |              -2.37478e-17 |              +2.62358e-14 |              -2.21119e-14 |              -1.91428e-13 |              -7.59320e-14 |              -8.18212e-14 |              -2.21119e-14 |              +2.73169e-13
     1 |   29968 |   123882 |    23.5 |    26.2 |              +7.43403e-13 |              -1.15631e-15 |              -9.61826e-15 |              -1.67029e-16 |              -5.99054e-13 |              -1.15631e-15 |              +1.47388e-13 |              -4.89034e-14 |              -1.32752e-17 |              -9.98873e-14 |              -9.61826e-15 |              -4.89034e-14 |              +1.53778e-13 |              -1.30841e-17 |              -9.58761e-14 |              -1.67029e-16 |              -1.32752e-17 |              -1.30841e-17 |              +5.11527e-14 |              -5.16167e-14 |              -5.99054e-13 |              -9.98873e-14 |              -9.58761e-14 |              -5.16167e-14 |              +7.16890e-13
     2 |   89011 |   405041 |    47.3 |    73.5 |              +9.81230e-13 |              -1.05689e-15 |              -9.97985e-15 |              -6.44122e-15 |              -9.34768e-13 |              -1.05689e-15 |              +1.47810e-13 |              -5.14452e-14 |              -1.30653e-17 |              -9.52129e-14 |              -9.97985e-15 |              -5.14452e-14 |              +1.52953e-13 |              -1.27661e-17 |              -9.11540e-14 |              -6.44122e-15 |              -1.30653e-17 |              -1.27661e-17 |              +5.79423e-14 |              -5.21279e-14 |              -9.34768e-13 |              -9.52129e-14 |              -9.11540e-14 |              -5.21279e-14 |              +1.14449e-12
     3 |  187881 |   886155 |    94.6 |   168.1 |              +1.00986e-12 |              -1.03965e-15 |              -9.81696e-15 |              -6.28854e-15 |              -9.88332e-13 |              -1.03965e-15 |              +1.45972e-13 |              -5.04659e-14 |              -1.31959e-17 |              -9.42680e-14 |              -9.81696e-15 |              -5.04659e-14 |              +1.51152e-13 |              -1.28985e-17 |              -9.03890e-14 |              -6.28854e-15 |              -1.31959e-17 |              -1.28985e-17 |              +5.71263e-14 |              -5.10315e-14 |              -9.88332e-13 |              -9.42680e-14 |              -9.03890e-14 |              -5.10315e-14 |              +1.21921e-12
     4 |  314252 |  1504753 |   170.9 |   339.0 |              +9.86759e-13 |              -1.04295e-15 |              -9.72999e-15 |              -6.06306e-15 |              -9.72903e-13 |              -1.04295e-15 |              +1.46286e-13 |              -5.04447e-14 |              -1.33753e-17 |              -9.45490e-14 |              -9.72999e-15 |              -5.04447e-14 |              +1.51541e-13 |              -1.30689e-17 |              -9.07271e-14 |              -6.06306e-15 |              -1.33753e-17 |              -1.30689e-17 |              +5.69195e-14 |              -5.09078e-14 |              -9.72903e-13 |              -9.45490e-14 |              -9.07271e-14 |              -5.09078e-14 |              +1.21128e-12
     5 |  515585 |  2510417 |   288.0 |   627.0 |              +9.65604e-13 |              -1.04799e-15 |              -9.71633e-15 |              -5.93686e-15 |              -9.53847e-13 |              -1.04799e-15 |              +1.46760e-13 |              -5.04175e-14 |              -1.35360e-17 |              -9.48458e-14 |              -9.71633e-15 |              -5.04175e-14 |              +1.51808e-13 |              -1.32146e-17 |              -9.10754e-14 |              -5.93686e-15 |              -1.35360e-17 |              -1.32146e-17 |              +5.68343e-14 |              -5.09850e-14 |              -9.53847e-13 |              -9.48458e-14 |              -9.10754e-14 |              -5.09850e-14 |              +1.19479e-12
     6 |  820142 |  4079134 |   510.8 |  1137.9 |              +9.55773e-13 |              -1.05571e-15 |              -9.76862e-15 |              -5.87940e-15 |              -9.42487e-13 |              -1.05571e-15 |              +1.47003e-13 |              -5.05156e-14 |              -1.36529e-17 |              -9.51316e-14 |              -9.76862e-15 |              -5.05156e-14 |              +1.52310e-13 |              -1.33258e-17 |              -9.14813e-14 |              -5.87940e-15 |              -1.36529e-17 |              -1.33258e-17 |              +5.68143e-14 |              -5.10643e-14 |              -9.42487e-13 |              -9.51316e-14 |              -9.14813e-14 |              -5.10643e-14 |              +1.18292e-12
     7 | 1290190 |  6485973 |   855.6 |  1993.4 |              +9.51726e-13 |              -1.06048e-15 |              -9.76094e-15 |              -5.84828e-15 |              -9.38208e-13 |              -1.06048e-15 |              +1.47319e-13 |              -5.06299e-14 |              -1.37516e-17 |              -9.53884e-14 |              -9.76094e-15 |              -5.06299e-14 |              +1.52485e-13 |              -1.34255e-17 |              -9.17079e-14 |              -5.84828e-15 |              -1.37516e-17 |              -1.34255e-17 |              +5.69369e-14 |              -5.11511e-14 |              -9.38208e-13 |              -9.53884e-14 |              -9.17079e-14 |              -5.11511e-14 |              +1.17910e-12
