iter # | # nodes | #3D elem |  dt (s) |   t (s) |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad |              ground_plane |              ground_plane |              ground_plane |              ground_plane |              ground_plane
       |         |          |         |         |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane
     0 |   14043 |    66893 |     2.7 |     2.7 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     1 |   29968 |   123882 |    23.5 |    26.2 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     2 |   89011 |   405041 |    47.3 |    73.5 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     3 |  187881 |   886155 |    94.6 |   168.1 |              +7.42084e-13 |              +8.12249e-16 |              +8.59127e-15 |              +8.86851e-15 |              +7.96904e-13 |              +8.12249e-16 |              +4.40347e-14 |              +2.93626e-14 |              +1.27524e-17 |              +2.39553e-14 |              +8.59127e-15 |              +2.93626e-14 |              +3.62561e-14 |              +1.09817e-17 |              +1.40549e-14 |              +8.86851e-15 |              +1.27524e-17 |              +1.09817e-17 |              +3.17064e-14 |              +3.00160e-14 |              +7.96904e-13 |              +2.39553e-14 |              +1.40549e-14 |              +3.00160e-14 |              +9.46036e-13
     4 |  314252 |  1504753 |   170.9 |   339.0 |              +2.66457e-13 |              +1.16658e-16 |              +3.61589e-16 |              +6.27419e-15 |              +3.89278e-13 |              +1.16658e-16 |              +1.83860e-15 |              +2.54180e-15 |              +3.09980e-19 |              +5.61936e-15 |              +3.61589e-16 |              +2.54180e-15 |              +2.62549e-15 |              +3.17989e-19 |              +5.48714e-15 |              +6.27419e-15 |              +3.09980e-19 |              +3.17989e-19 |              +6.78963e-15 |              +1.22009e-15 |              +3.89278e-13 |              +5.61936e-15 |              +5.48714e-15 |              +1.22009e-15 |              +5.02315e-13
     5 |  515585 |  2510417 |   288.0 |   627.0 |              +4.42560e-14 |              +1.72405e-17 |              +2.63525e-16 |              +5.04363e-16 |              +5.35634e-14 |              +1.72405e-17 |              +1.83860e-15 |              +1.02770e-15 |              +4.70664e-19 |              +9.44903e-16 |              +2.63525e-16 |              +1.02770e-15 |              +1.80035e-15 |              +4.48449e-19 |              +7.65001e-16 |              +5.04363e-16 |              +4.70664e-19 |              +4.48449e-19 |              +1.10803e-15 |              +1.22009e-15 |              +5.35634e-14 |              +9.44903e-16 |              +7.65001e-16 |              +1.22009e-15 |              +7.47153e-14
     6 |  820142 |  4079134 |   510.8 |  1137.9 |              +5.40869e-14 |              +1.60657e-17 |              +1.00628e-16 |              +4.09140e-16 |              +4.58449e-14 |              +1.60657e-17 |              +1.03174e-15 |              +9.80501e-17 |              +4.57035e-19 |              +8.63616e-16 |              +1.00628e-16 |              +9.80501e-17 |              +1.15735e-15 |              +4.27316e-19 |              +1.09226e-15 |              +4.09140e-16 |              +4.57035e-19 |              +4.27316e-19 |              +3.12037e-16 |              +1.56443e-16 |              +4.58449e-14 |              +8.63616e-16 |              +1.09226e-15 |              +1.56443e-16 |              +3.62843e-14
     7 | 1290190 |  6485973 |   855.6 |  1993.4 |              +3.50328e-14 |              +1.75385e-17 |              +5.22933e-17 |              +2.14780e-16 |              +3.46948e-14 |              +1.75385e-17 |              +1.03284e-15 |              +2.12366e-16 |              +3.76295e-19 |              +8.39385e-16 |              +5.22933e-17 |              +2.12366e-16 |              +9.43633e-16 |              +3.56628e-19 |              +9.80787e-16 |              +2.14780e-16 |              +3.76295e-19 |              +3.56628e-19 |              +1.22653e-16 |              +2.43293e-16 |              +3.46948e-14 |              +8.39385e-16 |              +9.80787e-16 |              +2.43293e-16 |              +3.21846e-14
