,Q1_pad_bot,Q1_pad_top,ground_plane,open_to_ground_ind_stub,open_to_ground_launch_pad
Q1_pad_bot,152.48475456051756,-50.629878873089694,-91.70792788940315,-9.760943933540156,-0.01342551139753354
Q1_pad_top,-50.629878873089694,147.3192725609044,-95.38836372916342,-1.0604843617660247,-0.013751609829385093
ground_plane,-91.70792788940315,-95.38836372916342,1179.097541000337,-938.2082430396649,-51.15112043022652
open_to_ground_ind_stub,-9.760943933540156,-1.0604843617660247,-938.2082430396649,951.7263485821147,-5.8482834187434385
open_to_ground_launch_pad,-0.01342551139753354,-0.013751609829385093,-51.15112043022652,-5.8482834187434385,56.93692888653952
