 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |   14122 |    67577 |       8.8 |       8.8 | +3.11570e+09 | +4.65805e+09
      1 |   14035 |    58335 |      14.3 |      23.1 | +4.31131e+09 | +5.24211e+09
      2 |   18613 |    72588 |      14.4 |      37.5 | +4.63406e+09 | +5.19616e+09
      3 |   24234 |    94916 |      17.6 |      55.1 | +4.76670e+09 | +5.34183e+09
      4 |   31245 |   124953 |      21.3 |      76.4 | +4.82942e+09 | +5.48013e+09
      5 |   40051 |   163608 |      27.0 |     103.4 | +4.87976e+09 | +5.54351e+09
      6 |   49640 |   207537 |      32.7 |     136.0 | +4.91912e+09 | +5.55336e+09
      7 |   59758 |   255238 |      41.2 |     177.3 | +4.94566e+09 | +5.56893e+09
      8 |   71295 |   310813 |      48.5 |     225.8 | +4.97054e+09 | +5.59576e+09

Solution completed. Time to solve: 261.0 s
