 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |   14148 |    67716 |       8.9 |       8.9 |            - |            -
      1 |   13986 |    57932 |      14.5 |      23.4 |            - |            -
      2 |   18301 |    71363 |      15.3 |      38.7 |            - |            -
      3 |   23971 |    93586 |      17.2 |      55.8 |            - |            -
      4 |   30894 |   123037 |      21.4 |      77.2 |            - |            -
      5 |   39446 |   160804 |      26.2 |     103.4 | +1.74701e+09 | +8.50490e+08
      6 |   49066 |   204469 |      33.0 |     136.4 | +6.48107e+08 | +3.64106e+08
      7 |   59038 |   251892 |      40.5 |     176.9 | +3.11751e+08 | +3.62470e+08
      8 |   70193 |   305204 |      49.3 |     226.3 | +2.03479e+08 | +2.26537e+08

Solution completed. Time to solve: 261.5 s
