 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |   14148 |    67716 |       8.9 |       8.9 |            - |            -
      1 |   13986 |    57932 |      14.5 |      23.4 |            - |            -
      2 |   18301 |    71363 |      15.3 |      38.7 |            - |            -
      3 |   23971 |    93586 |      17.2 |      55.8 |            - |            -
      4 |   30894 |   123037 |      21.4 |      77.2 |            - |            -
      5 |   39446 |   160804 |      26.2 |     103.4 | +3.61514e-01 | +1.53967e-01
      6 |   49066 |   204469 |      33.0 |     136.4 | +1.33102e-01 | +6.56163e-02
      7 |   59038 |   251892 |      40.5 |     176.9 | +6.36059e-02 | +6.50377e-02
      8 |   70193 |   305204 |      49.3 |     226.3 | +4.13433e-02 | +4.04848e-02

Solution completed. Time to solve: 261.5 s
