 iter # | # nodes | #3D elem |    dt (s) |     t (s) |       mode 0 |       mode 1
      0 |   14148 |    67716 |       8.9 |       8.9 | +3.08548e+09 | +4.67335e+09
      1 |   13986 |    57932 |      14.5 |      23.4 | +4.22113e+09 | +5.18491e+09
      2 |   18301 |    71363 |      15.3 |      38.7 | +4.58954e+09 | +5.21076e+09
      3 |   23971 |    93586 |      17.2 |      55.8 | +4.71820e+09 | +5.36906e+09
      4 |   30894 |   123037 |      21.4 |      77.2 | +4.78591e+09 | +5.47129e+09
      5 |   39446 |   160804 |      26.2 |     103.4 | +4.83249e+09 | +5.52384e+09
      6 |   49066 |   204469 |      33.0 |     136.4 | +4.86924e+09 | +5.54902e+09
      7 |   59038 |   251892 |      40.5 |     176.9 | +4.90129e+09 | +5.57323e+09
      8 |   70193 |   305204 |      49.3 |     226.3 | +4.92168e+09 | +5.59560e+09

Solution completed. Time to solve: 261.5 s
