,Q1_pad_bot,Q1_pad_top,ground_plane,open_to_ground_ind_stub,open_to_ground_launch_pad
Q1_pad_bot,142.25932579293803,-47.77394461866918,-84.06679626277142,-9.9911550099809,-0.012770514789954522
Q1_pad_top,-47.77394461866918,137.03271136024046,-87.87444625565094,-1.1021445557905274,-0.013137462768353538
ground_plane,-84.06679626277142,-87.87444625565094,1163.720737718831,-938.0869216954547,-51.150024344406305
open_to_ground_ind_stub,-9.9911550099809,-1.1021445557905274,-938.0869216954547,951.9255501259128,-5.83984645965914
open_to_ground_launch_pad,-0.012770514789954522,-0.013137462768353538,-51.150024344406305,-5.83984645965914,56.88404938164063
