iter # | # nodes | #3D elem |  dt (s) |   t (s) |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad |              ground_plane |              ground_plane |              ground_plane |              ground_plane |              ground_plane
       |         |          |         |         |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane
     0 |   14080 |    67094 |     2.4 |     2.4 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     1 |   30191 |   125188 |    23.6 |    26.0 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     2 |   88274 |   400049 |    46.6 |    72.6 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     3 |  183971 |   865313 |    93.7 |   166.3 |              +7.56706e-13 |              +1.01738e-15 |              +8.74991e-15 |              +1.09567e-14 |              +8.10440e-13 |              +1.01738e-15 |              +3.07241e-14 |              +2.56016e-14 |              +1.28292e-17 |              +1.47582e-14 |              +8.74991e-15 |              +2.56016e-14 |              +3.51752e-14 |              +1.01371e-17 |              +1.08988e-14 |              +1.09567e-14 |              +1.28292e-17 |              +1.01371e-17 |              +2.47060e-14 |              +2.40494e-14 |              +8.10440e-13 |              +1.47582e-14 |              +1.08988e-14 |              +2.40494e-14 |              +9.44606e-13
     4 |  309488 |  1481292 |   162.2 |   328.5 |              +3.33686e-13 |              +9.29890e-17 |              +5.70394e-16 |              +6.46259e-15 |              +4.12355e-13 |              +9.29890e-17 |              +1.37516e-15 |              +1.73335e-15 |              +3.37752e-19 |              +4.61384e-15 |              +5.70394e-16 |              +1.73335e-15 |              +4.10560e-15 |              +3.44675e-19 |              +4.52911e-15 |              +6.46259e-15 |              +3.37752e-19 |              +3.44675e-19 |              +7.00837e-15 |              +1.95393e-15 |              +4.12355e-13 |              +4.61384e-15 |              +4.52911e-15 |              +1.95393e-15 |              +4.86973e-13
     5 |  508563 |  2475910 |   286.8 |   615.3 |              +4.36564e-14 |              +1.48039e-17 |              +2.68656e-16 |              +5.48369e-16 |              +4.57949e-14 |              +1.48039e-17 |              +1.37516e-15 |              +7.74935e-16 |              +4.98022e-19 |              +7.51282e-16 |              +2.68656e-16 |              +7.74935e-16 |              +1.04118e-15 |              +4.69419e-19 |              +7.61956e-16 |              +5.48369e-16 |              +4.98022e-19 |              +4.69419e-19 |              +1.62834e-15 |              +1.33428e-15 |              +4.57949e-14 |              +7.51282e-16 |              +7.61956e-16 |              +1.33428e-15 |              +6.73810e-14
     6 |  809242 |  4024554 |   515.7 |  1131.0 |              +5.33528e-14 |              +2.08584e-17 |              +3.84866e-17 |              +4.26022e-16 |              +4.61607e-14 |              +2.08584e-17 |              +1.08349e-15 |              +1.49933e-16 |              +4.09820e-19 |              +9.90451e-16 |              +3.84866e-17 |              +1.49933e-16 |              +7.54415e-16 |              +3.88802e-19 |              +9.36612e-16 |              +4.26022e-16 |              +4.09820e-19 |              +3.88802e-19 |              +5.67854e-16 |              +2.29141e-16 |              +4.61607e-14 |              +9.90451e-16 |              +9.36612e-16 |              +2.29141e-16 |              +3.71770e-14
     7 | 1275289 |  6411280 |   880.5 |  2011.5 |              +3.57471e-14 |              +1.99559e-17 |              +3.29588e-17 |              +2.25308e-16 |              +3.54495e-14 |              +1.99559e-17 |              +9.76877e-16 |              +2.08987e-16 |              +3.65485e-19 |              +9.21893e-16 |              +3.29588e-17 |              +2.08987e-16 |              +8.91072e-16 |              +3.57062e-19 |              +8.74753e-16 |              +2.25308e-16 |              +3.65485e-19 |              +3.57062e-19 |              +2.16068e-16 |              +2.25285e-16 |              +3.54495e-14 |              +9.21893e-16 |              +8.74753e-16 |              +2.25285e-16 |              +3.28912e-14
