iter # | # nodes | #3D elem |  dt (s) |   t (s) |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad |              ground_plane |              ground_plane |              ground_plane |              ground_plane |              ground_plane
       |         |          |         |         |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane
     0 |   14057 |    66977 |     2.4 |     2.4 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     1 |   30579 |   126321 |    23.3 |    25.7 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     2 |   83108 |   383746 |    43.7 |    69.4 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     3 |  200098 |   962456 |    92.8 |   162.3 |              +7.41394e-01 |              +6.41694e-01 |              +7.19962e-01 |              +1.49982e+00 |              +8.10873e-01 |              +6.41694e-01 |              +2.45447e-01 |              +6.16506e-01 |              +9.81177e-01 |              +2.05091e-01 |              +7.19962e-01 |              +6.16506e-01 |              +2.54793e-01 |              +8.22699e-01 |              +1.17441e-01 |              +1.49982e+00 |              +9.81177e-01 |              +8.22699e-01 |              +6.43318e-01 |              +6.81048e-01 |              +8.10873e-01 |              +2.05091e-01 |              +1.17441e-01 |              +6.81048e-01 |              +7.89716e-01
     4 |  317184 |  1526416 |   177.9 |   340.2 |              +7.27773e-01 |              +8.88391e-02 |              +2.96072e-02 |              +1.18240e+00 |              +7.24843e-01 |              +8.88391e-02 |              +7.31303e-03 |              +2.24287e-02 |              +2.99494e-02 |              +3.76926e-02 |              +2.96072e-02 |              +2.24287e-02 |              +6.69374e-03 |              +2.32998e-02 |              +3.73729e-02 |              +1.18240e+00 |              +2.99494e-02 |              +2.32998e-02 |              +1.41271e-01 |              +1.39597e-02 |              +7.24843e-01 |              +3.76926e-02 |              +3.73729e-02 |              +1.39597e-02 |              +5.75203e-01
     5 |  511312 |  2490476 |   304.8 |   644.9 |              +1.08363e-01 |              +2.27415e-02 |              +2.29224e-02 |              +9.98583e-02 |              +1.40216e-01 |              +2.27415e-02 |              +7.28969e-03 |              +1.33380e-02 |              +3.30163e-02 |              +1.05244e-02 |              +2.29224e-02 |              +1.33380e-02 |              +4.73783e-03 |              +3.14591e-02 |              +6.97884e-03 |              +9.98583e-02 |              +3.30163e-02 |              +3.14591e-02 |              +1.94586e-02 |              +1.39534e-02 |              +1.40216e-01 |              +1.05244e-02 |              +6.97884e-03 |              +1.39534e-02 |              +1.34879e-01
     6 |  809026 |  4022375 |   538.0 |  1182.9 |              +6.01242e-02 |              +1.82671e-02 |              +6.11555e-03 |              +6.27267e-02 |              +5.12944e-02 |              +1.82671e-02 |              +9.13960e-03 |              +3.44468e-03 |              +3.10693e-02 |              +1.13320e-02 |              +6.11555e-03 |              +3.44468e-03 |              +3.90550e-03 |              +2.97277e-02 |              +8.95529e-03 |              +6.27267e-02 |              +3.10693e-02 |              +2.97277e-02 |              +8.22834e-03 |              +2.99537e-03 |              +5.12944e-02 |              +1.13320e-02 |              +8.95529e-03 |              +2.99537e-03 |              +3.23067e-02
     7 | 1272155 |  6394858 |   903.1 |  2086.0 |              +3.96401e-02 |              +1.95748e-02 |              +5.34234e-03 |              +3.06324e-02 |              +3.93151e-02 |              +1.95748e-02 |              +8.17407e-03 |              +4.43193e-03 |              +2.73158e-02 |              +1.13681e-02 |              +5.34234e-03 |              +4.43193e-03 |              +5.20112e-03 |              +2.62773e-02 |              +9.65741e-03 |              +3.06324e-02 |              +2.73158e-02 |              +2.62773e-02 |              +4.08664e-03 |              +5.22943e-03 |              +3.93151e-02 |              +1.13681e-02 |              +9.65741e-03 |              +5.22943e-03 |              +2.89700e-02
