iter # | # nodes | #3D elem |  dt (s) |   t (s) |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad |              ground_plane |              ground_plane |              ground_plane |              ground_plane |              ground_plane
       |         |          |         |         |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane
     0 |   14057 |    66977 |     2.4 |     2.4 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     1 |   30579 |   126321 |    23.3 |    25.7 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     2 |   83108 |   383746 |    43.7 |    69.4 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     3 |  200098 |   962456 |    92.8 |   162.3 |              +7.51443e-13 |              +6.91583e-16 |              +7.20667e-15 |              +9.34492e-15 |              +8.03862e-13 |              +6.91583e-16 |              +3.30057e-14 |              +2.91379e-14 |              +1.23309e-17 |              +1.76020e-14 |              +7.20667e-15 |              +2.91379e-14 |              +3.57488e-14 |              +1.00563e-17 |              +9.65644e-15 |              +9.34492e-15 |              +1.23309e-17 |              +1.00563e-17 |              +3.67577e-14 |              +3.47632e-14 |              +8.03862e-13 |              +1.76020e-14 |              +9.65644e-15 |              +3.47632e-14 |              +9.51320e-13
     4 |  317184 |  1526416 |   177.9 |   340.2 |              +7.19913e-13 |              +9.60918e-17 |              +2.94552e-16 |              +7.11394e-15 |              +7.06473e-13 |              +9.60918e-17 |              +9.86067e-16 |              +1.06110e-15 |              +3.80158e-19 |              +3.24470e-15 |              +2.94552e-16 |              +1.06110e-15 |              +9.39936e-16 |              +2.87747e-19 |              +3.08123e-15 |              +7.11394e-15 |              +3.80158e-19 |              +2.87747e-19 |              +8.01961e-15 |              +7.10421e-16 |              +7.06473e-13 |              +3.24470e-15 |              +3.08123e-15 |              +7.10421e-16 |              +6.87765e-13
     5 |  511312 |  2490476 |   304.8 |   644.9 |              +1.04787e-13 |              +2.47982e-17 |              +2.29092e-16 |              +5.88760e-16 |              +1.33910e-13 |              +2.47982e-17 |              +9.86067e-16 |              +6.31482e-16 |              +4.23177e-19 |              +9.10182e-16 |              +2.29092e-16 |              +6.31482e-16 |              +6.66481e-16 |              +3.91786e-19 |              +5.77354e-16 |              +5.88760e-16 |              +4.23177e-19 |              +3.91786e-19 |              +1.10272e-15 |              +7.10421e-16 |              +1.33910e-13 |              +9.10182e-16 |              +5.77354e-16 |              +7.10421e-16 |              +1.59075e-13
     6 |  809026 |  4022375 |   538.0 |  1182.9 |              +5.74830e-14 |              +2.00537e-17 |              +6.11053e-17 |              +3.67762e-16 |              +4.83698e-14 |              +2.00537e-17 |              +1.24036e-15 |              +1.63368e-16 |              +4.02983e-19 |              +9.83720e-16 |              +6.11053e-17 |              +1.63368e-16 |              +5.50112e-16 |              +3.74512e-19 |              +7.42989e-16 |              +3.67762e-16 |              +4.02983e-19 |              +3.74512e-19 |              +4.67656e-16 |              +1.52886e-16 |              +4.83698e-14 |              +9.83720e-16 |              +7.42989e-16 |              +1.52886e-16 |              +3.76999e-14
     7 | 1272155 |  6394858 |   903.1 |  2086.0 |              +3.77169e-14 |              +2.15956e-17 |              +5.34348e-17 |              +1.78823e-16 |              +3.68691e-14 |              +2.15956e-17 |              +1.11125e-15 |              +2.10607e-16 |              +3.56466e-19 |              +9.89853e-16 |              +5.34348e-17 |              +2.10607e-16 |              +7.34160e-16 |              +3.33275e-19 |              +8.03975e-16 |              +1.78823e-16 |              +3.56466e-19 |              +3.33275e-19 |              +2.32540e-16 |              +2.67529e-16 |              +3.68691e-14 |              +9.89853e-16 |              +8.03975e-16 |              +2.67529e-16 |              +3.36639e-14
