iter # | # nodes | #3D elem |  dt (s) |   t (s) |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad |              ground_plane |              ground_plane |              ground_plane |              ground_plane |              ground_plane
       |         |          |         |         |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane
     0 |   14056 |    66900 |     2.4 |     2.4 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     1 |   30998 |   127705 |    25.2 |    27.6 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     2 |   83645 |   386775 |    44.7 |    72.2 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     3 |  200137 |   963308 |    94.4 |   166.7 |              +8.90652e-01 |              +7.70746e-01 |              +7.76376e-01 |              +1.09273e+00 |              +8.14645e-01 |              +7.70746e-01 |              +2.23357e-01 |              +5.26982e-01 |              +9.63304e-01 |              +2.09996e-01 |              +7.76376e-01 |              +5.26982e-01 |              +2.57750e-01 |              +7.71826e-01 |              +1.26512e-01 |              +1.09273e+00 |              +9.63304e-01 |              +7.71826e-01 |              +4.45726e-01 |              +5.98067e-01 |              +8.14645e-01 |              +2.09996e-01 |              +1.26512e-01 |              +5.98067e-01 |              +7.84948e-01
     4 |  322438 |  1554443 |   172.9 |   339.6 |              +9.15847e-01 |              +7.47783e-02 |              +3.68899e-02 |              +9.19749e-01 |              +8.14960e-01 |              +7.47783e-02 |              +5.41546e-03 |              +2.96052e-02 |              +3.31224e-02 |              +4.70916e-02 |              +3.68899e-02 |              +2.96052e-02 |              +1.63772e-02 |              +2.68420e-02 |              +4.65893e-02 |              +9.19749e-01 |              +3.31224e-02 |              +2.68420e-02 |              +1.34299e-01 |              +1.80516e-02 |              +8.14960e-01 |              +4.70916e-02 |              +4.65893e-02 |              +1.80516e-02 |              +5.62036e-01
     5 |  516164 |  2514514 |   307.9 |   647.5 |              +1.12640e-01 |              +1.87068e-02 |              +2.70650e-02 |              +1.00728e-01 |              +1.41727e-01 |              +1.87068e-02 |              +5.40178e-03 |              +1.36069e-02 |              +3.61574e-02 |              +6.24220e-03 |              +2.70650e-02 |              +1.36069e-02 |              +3.47502e-03 |              +3.46695e-02 |              +5.32618e-03 |              +1.00728e-01 |              +3.61574e-02 |              +3.46695e-02 |              +2.12464e-02 |              +1.80362e-02 |              +1.41727e-01 |              +6.24220e-03 |              +5.32618e-03 |              +1.80362e-02 |              +1.33950e-01
     6 |  817107 |  4062151 |   549.8 |  1197.3 |              +6.10947e-02 |              +1.58852e-02 |              +2.53604e-03 |              +5.34788e-02 |              +5.27928e-02 |              +1.58852e-02 |              +7.73139e-03 |              +3.36208e-03 |              +3.24748e-02 |              +9.11982e-03 |              +2.53604e-03 |              +3.36208e-03 |              +4.84039e-03 |              +3.12649e-02 |              +8.24886e-03 |              +5.34788e-02 |              +3.24748e-02 |              +3.12649e-02 |              +9.21983e-03 |              +4.36687e-03 |              +5.27928e-02 |              +9.11982e-03 |              +8.24886e-03 |              +4.36687e-03 |              +3.41915e-02
     7 | 1285175 |  6460414 |   931.2 |  2128.5 |              +3.67998e-02 |              +1.79888e-02 |              +3.50855e-03 |              +2.79103e-02 |              +3.79008e-02 |              +1.79888e-02 |              +7.20771e-03 |              +5.39046e-03 |              +2.53495e-02 |              +8.99778e-03 |              +3.50855e-03 |              +5.39046e-03 |              +5.52594e-03 |              +2.44632e-02 |              +8.71504e-03 |              +2.79103e-02 |              +2.53495e-02 |              +2.44632e-02 |              +2.93752e-03 |              +5.12942e-03 |              +3.79008e-02 |              +8.99778e-03 |              +8.71504e-03 |              +5.12942e-03 |              +2.92395e-02
