,Q1_pad_bot,Q1_pad_top,ground_plane,open_to_ground_ind_stub,open_to_ground_launch_pad
Q1_pad_bot,142.31852253029666,-48.00219955305576,-83.98977260162287,-9.938422553014801,-0.013446378247701243
Q1_pad_top,-48.00219955305576,137.17060778793336,-87.84152787466472,-1.028416812154028,-0.013765310855000422
ground_plane,-83.98977260162287,-87.84152787466472,1163.887212228102,-938.3586979295552,-51.113375950580114
open_to_ground_ind_stub,-9.938422553014801,-1.028416812154028,-938.3586979295552,952.0542452000548,-5.853608385638784
open_to_ground_launch_pad,-0.013446378247701243,-0.013765310855000422,-51.113375950580114,-5.853608385638784,56.87587895589892
