iter # | # nodes | #3D elem |  dt (s) |   t (s) |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad |              ground_plane |              ground_plane |              ground_plane |              ground_plane |              ground_plane
       |         |          |         |         |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane
     0 |   14025 |    66738 |     2.3 |     2.3 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     1 |   30689 |   126552 |    24.2 |    26.6 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     2 |   89373 |   405320 |    47.4 |    74.0 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     3 |  186003 |   875758 |    94.5 |   168.5 |              +7.52848e-13 |              +8.92616e-16 |              +4.76790e-15 |              +1.05708e-14 |              +8.02052e-13 |              +8.92616e-16 |              +3.60118e-14 |              +2.82905e-14 |              +1.23435e-17 |              +1.39340e-14 |              +4.76790e-15 |              +2.82905e-14 |              +3.02349e-14 |              +9.86972e-18 |              +7.80412e-15 |              +1.05708e-14 |              +1.23435e-17 |              +9.86972e-18 |              +2.18242e-14 |              +2.45804e-14 |              +8.02052e-13 |              +1.39340e-14 |              +7.80412e-15 |              +2.45804e-14 |              +9.27202e-13
     4 |  310997 |  1488210 |   168.4 |   336.9 |              +3.81928e-13 |              +8.56832e-17 |              +5.30722e-16 |              +6.67096e-15 |              +4.41126e-13 |              +8.56832e-17 |              +2.10369e-15 |              +7.51423e-16 |              +3.88551e-19 |              +3.31477e-15 |              +5.30722e-16 |              +7.51423e-16 |              +8.40838e-16 |              +3.33216e-19 |              +3.21753e-15 |              +6.67096e-15 |              +3.88551e-19 |              +3.33216e-19 |              +8.09444e-15 |              +1.30852e-15 |              +4.41126e-13 |              +3.31477e-15 |              +3.21753e-15 |              +1.30852e-15 |              +4.92332e-13
     5 |  511146 |  2489004 |   289.4 |   626.3 |              +4.37120e-14 |              +1.74042e-17 |              +1.67601e-16 |              +4.47605e-16 |              +4.12430e-14 |              +1.74042e-17 |              +6.00753e-16 |              +7.54055e-16 |              +5.37333e-19 |              +7.12854e-16 |              +1.67601e-16 |              +7.54055e-16 |              +5.76371e-16 |              +4.75199e-19 |              +5.34196e-16 |              +4.47605e-16 |              +5.37333e-19 |              +4.75199e-19 |              +1.25275e-15 |              +1.30852e-15 |              +4.12430e-14 |              +7.12854e-16 |              +5.34196e-16 |              +1.30852e-15 |              +6.62951e-14
     6 |  811489 |  4036290 |   526.1 |  1152.4 |              +5.30756e-14 |              +2.49153e-17 |              +4.31471e-17 |              +4.21331e-16 |              +4.66289e-14 |              +2.49153e-17 |              +9.91733e-16 |              +9.13096e-17 |              +4.47865e-19 |              +9.80698e-16 |              +4.31471e-17 |              +9.13096e-17 |              +5.11601e-16 |              +4.07212e-19 |              +7.80079e-16 |              +4.21331e-16 |              +4.47865e-19 |              +4.07212e-19 |              +5.09422e-16 |              +2.95177e-16 |              +4.66289e-14 |              +9.80698e-16 |              +7.80079e-16 |              +2.95177e-16 |              +3.86468e-14
     7 | 1276682 |  6418381 |   921.2 |  2073.6 |              +3.47724e-14 |              +1.79297e-17 |              +2.40240e-17 |              +2.14296e-16 |              +3.40456e-14 |              +1.79297e-17 |              +9.37030e-16 |              +1.65138e-16 |              +3.78686e-19 |              +9.24291e-16 |              +2.40240e-17 |              +1.65138e-16 |              +8.02142e-16 |              +3.57171e-19 |              +1.01837e-15 |              +2.14296e-16 |              +3.78686e-19 |              +3.57171e-19 |              +1.74452e-16 |              +3.00481e-16 |              +3.40456e-14 |              +9.24291e-16 |              +1.01837e-15 |              +3.00481e-16 |              +3.07269e-14
