iter # | # nodes | #3D elem |  dt (s) |   t (s) |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad |              ground_plane |              ground_plane |              ground_plane |              ground_plane |              ground_plane
       |         |          |         |         |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane
     0 |   14025 |    66738 |     2.3 |     2.3 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     1 |   30718 |   126776 |    23.5 |    25.9 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     2 |   91459 |   417786 |    46.7 |    72.6 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     3 |  191881 |   907757 |    94.3 |   166.8 |              +7.45782e-01 |              +8.28131e-01 |              +4.70123e-01 |              +1.68911e+00 |              +8.10421e-01 |              +8.28131e-01 |              +2.64776e-01 |              +6.01289e-01 |              +9.70014e-01 |              +1.59597e-01 |              +4.70123e-01 |              +6.01289e-01 |              +2.29027e-01 |              +7.94851e-01 |              +9.59883e-02 |              +1.68911e+00 |              +9.70014e-01 |              +7.94851e-01 |              +3.79305e-01 |              +4.79922e-01 |              +8.10421e-01 |              +1.59597e-01 |              +9.59883e-02 |              +4.79922e-01 |              +7.68201e-01
     4 |  315208 |  1509191 |   163.5 |   330.3 |              +3.95214e-01 |              +8.60014e-02 |              +4.92587e-02 |              +1.03194e+00 |              +4.44954e-01 |              +8.60014e-02 |              +1.66164e-02 |              +2.50823e-02 |              +2.50960e-02 |              +3.73689e-02 |              +4.92587e-02 |              +2.50823e-02 |              +2.29376e-02 |              +2.16160e-02 |              +4.06062e-02 |              +1.03194e+00 |              +2.50960e-02 |              +2.16160e-02 |              +1.32971e-01 |              +2.45636e-02 |              +4.44954e-01 |              +3.73689e-02 |              +4.06062e-02 |              +2.45636e-02 |              +3.92461e-01
     5 |  515623 |  2510748 |   281.6 |   611.9 |              +4.41678e-02 |              +1.36185e-02 |              +1.90871e-02 |              +7.99477e-02 |              +5.43343e-02 |              +1.36185e-02 |              +6.06097e-03 |              +1.26908e-02 |              +3.29282e-02 |              +1.05596e-02 |              +1.90871e-02 |              +1.26908e-02 |              +7.68635e-03 |              +2.89579e-02 |              +6.09090e-03 |              +7.99477e-02 |              +3.29282e-02 |              +2.89579e-02 |              +2.08889e-02 |              +2.45271e-02 |              +5.43343e-02 |              +1.05596e-02 |              +6.09090e-03 |              +2.45271e-02 |              +6.62067e-02
     6 |  817917 |  4067114 |   513.4 |  1125.2 |              +5.50067e-02 |              +1.92455e-02 |              +3.17147e-03 |              +7.15464e-02 |              +4.93760e-02 |              +1.92455e-02 |              +9.05084e-03 |              +2.34925e-03 |              +3.28248e-02 |              +1.17709e-02 |              +3.17147e-03 |              +2.34925e-03 |              +5.71912e-03 |              +3.14064e-02 |              +9.67344e-03 |              +7.15464e-02 |              +3.28248e-02 |              +3.14064e-02 |              +1.23433e-02 |              +6.34366e-03 |              +4.93760e-02 |              +1.17709e-02 |              +9.67344e-03 |              +6.34366e-03 |              +3.35568e-02
     7 | 1282831 |  6447538 |   865.4 |  1990.7 |              +3.59237e-02 |              +1.76660e-02 |              +3.31899e-03 |              +3.47813e-02 |              +3.66444e-02 |              +1.76660e-02 |              +6.90152e-03 |              +4.09776e-03 |              +2.58343e-02 |              +1.05782e-02 |              +3.31899e-03 |              +4.09776e-03 |              +5.63038e-03 |              +2.50862e-02 |              +1.07226e-02 |              +3.47813e-02 |              +2.58343e-02 |              +2.50862e-02 |              +2.56700e-03 |              +4.89450e-03 |              +3.66444e-02 |              +1.05782e-02 |              +1.07226e-02 |              +4.89450e-03 |              +2.76378e-02
