iter # | # nodes | #3D elem |  dt (s) |   t (s) |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad |              ground_plane |              ground_plane |              ground_plane |              ground_plane |              ground_plane
       |         |          |         |         |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane
     0 |   14025 |    66738 |     2.3 |     2.3 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     1 |   30718 |   126776 |    23.5 |    25.9 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     2 |   91459 |   417786 |    46.7 |    72.6 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     3 |  191881 |   907757 |    94.3 |   166.8 |              +7.52475e-13 |              +8.89636e-16 |              +4.69218e-15 |              +1.06246e-14 |              +8.01888e-13 |              +8.89636e-16 |              +3.59107e-14 |              +2.87023e-14 |              +1.22359e-17 |              +1.38121e-14 |              +4.69218e-15 |              +2.87023e-14 |              +3.23556e-14 |              +9.76275e-18 |              +7.96791e-15 |              +1.06246e-14 |              +1.22359e-17 |              +9.76275e-18 |              +2.17908e-14 |              +2.45847e-14 |              +8.01888e-13 |              +1.38121e-14 |              +7.96791e-15 |              +2.45847e-14 |              +9.27515e-13
     4 |  315208 |  1509191 |   163.5 |   330.3 |              +3.89851e-13 |              +9.31015e-17 |              +4.90082e-16 |              +6.23261e-15 |              +4.32833e-13 |              +9.31015e-17 |              +2.26285e-15 |              +1.19811e-15 |              +3.20838e-19 |              +3.24769e-15 |              +4.90082e-16 |              +1.19811e-15 |              +3.24805e-15 |              +2.68833e-19 |              +3.37650e-15 |              +6.23261e-15 |              +3.20838e-19 |              +2.68833e-19 |              +7.55021e-15 |              +1.25035e-15 |              +4.32833e-13 |              +3.24769e-15 |              +3.37650e-15 |              +1.25035e-15 |              +4.69453e-13
     5 |  515623 |  2510748 |   281.6 |   611.9 |              +4.26791e-14 |              +1.48319e-17 |              +1.90098e-16 |              +4.75096e-16 |              +5.18129e-14 |              +1.48319e-17 |              +8.27041e-16 |              +6.06637e-16 |              +4.24376e-19 |              +9.20651e-16 |              +1.90098e-16 |              +6.06637e-16 |              +1.08950e-15 |              +3.62865e-19 |              +5.08153e-16 |              +4.75096e-16 |              +4.24376e-19 |              +3.62865e-19 |              +1.18539e-15 |              +1.25035e-15 |              +5.18129e-14 |              +9.20651e-16 |              +5.08153e-16 |              +1.25035e-15 |              +7.80424e-14
     6 |  817917 |  4067114 |   513.4 |  1125.2 |              +5.26066e-14 |              +2.10806e-17 |              +3.15963e-17 |              +4.19981e-16 |              +4.65573e-14 |              +2.10806e-17 |              +1.23875e-15 |              +1.12405e-16 |              +4.28110e-19 |              +1.03083e-15 |              +3.15963e-17 |              +1.12405e-16 |              +8.12611e-16 |              +3.98256e-19 |              +8.10828e-16 |              +4.19981e-16 |              +4.28110e-19 |              +3.98256e-19 |              +7.01553e-16 |              +3.23918e-16 |              +4.65573e-14 |              +1.03083e-15 |              +8.10828e-16 |              +3.23918e-16 |              +3.92005e-14
     7 | 1282831 |  6447538 |   865.4 |  1990.7 |              +3.42074e-14 |              +1.94684e-17 |              +3.31311e-17 |              +2.03008e-16 |              +3.43861e-14 |              +1.94684e-17 |              +9.46392e-16 |              +1.96544e-16 |              +3.39034e-19 |              +9.29173e-16 |              +3.31311e-17 |              +1.96544e-16 |              +8.01798e-16 |              +3.20020e-19 |              +9.01274e-16 |              +2.03008e-16 |              +3.39034e-19 |              +3.20020e-19 |              +1.46046e-16 |              +2.50368e-16 |              +3.43861e-14 |              +9.29173e-16 |              +9.01274e-16 |              +2.50368e-16 |              +3.21706e-14
