,Q1_pad_bot,Q1_pad_top,ground_plane,open_to_ground_ind_stub,open_to_ground_launch_pad
Q1_pad_bot,142.40561808994067,-47.963782828403865,-84.05364133141883,-9.982275548205562,-0.012756784043179389
Q1_pad_top,-47.963782828403865,137.12804592869838,-87.83806010659971,-1.1020267501945935,-0.013123422635005462
ground_plane,-84.05364133141883,-87.83806010659971,1164.0054302891554,-938.3729363032515,-51.15289306274157
open_to_ground_ind_stub,-9.982275548205562,-1.1020267501945935,-938.3729363032515,952.2235743291625,-5.836699708231829
open_to_ground_launch_pad,-0.012756784043179389,-0.013123422635005462,-51.15289306274157,-5.836699708231829,56.89372307393637
