,Q1_pad_bot,Q1_pad_top,ground_plane,open_to_ground_ind_stub,open_to_ground_launch_pad
Q1_pad_bot,142.54328863468868,-48.10349537322719,-84.01615290392235,-9.99009726085577,-0.012762229827906616
Q1_pad_top,-48.10349537322719,137.20965781334073,-87.75526059129645,-1.1020966557400154,-0.013126490216573179
ground_plane,-84.01615290392235,-87.75526059129645,1163.432655103623,-937.9140055307346,-51.16975096455048
open_to_ground_ind_stub,-9.99009726085577,-1.1020966557400154,-937.9140055307346,951.7337860799067,-5.842606714144575
open_to_ground_launch_pad,-0.012762229827906616,-0.013126490216573179,-51.16975096455048,-5.842606714144575,56.91932181107559
