iter # | # nodes | #3D elem |  dt (s) |   t (s) |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad |              ground_plane |              ground_plane |              ground_plane |              ground_plane |              ground_plane
       |         |          |         |         |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane
     0 |   13995 |    66760 |     2.4 |     2.4 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     1 |   30011 |   124157 |    24.8 |    27.2 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     2 |   86799 |   398314 |    44.6 |    71.7 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     3 |  190164 |   903331 |    91.6 |   163.3 |              +7.33089e-01 |              +6.10744e-01 |              +8.01249e-01 |              +1.38938e+00 |              +8.06465e-01 |              +6.10744e-01 |              +1.84756e-01 |              +5.00599e-01 |              +9.40994e-01 |              +1.66875e-01 |              +8.01249e-01 |              +5.00599e-01 |              +2.14628e-01 |              +7.98698e-01 |              +9.89908e-02 |              +1.38938e+00 |              +9.40994e-01 |              +7.98698e-01 |              +5.00272e-01 |              +5.83028e-01 |              +8.06465e-01 |              +1.66875e-01 |              +9.89908e-02 |              +5.83028e-01 |              +7.83552e-01
     4 |  341073 |  1657345 |   169.7 |   333.0 |              +2.84857e-01 |              +7.58570e-02 |              +2.92238e-02 |              +1.28679e+00 |              +3.74299e-01 |              +7.58570e-02 |              +1.24569e-02 |              +2.03887e-02 |              +2.99232e-02 |              +3.79804e-02 |              +2.92238e-02 |              +2.03887e-02 |              +1.23021e-02 |              +2.66080e-02 |              +3.40708e-02 |              +1.28679e+00 |              +2.99232e-02 |              +2.66080e-02 |              +1.86415e-01 |              +6.07024e-02 |              +3.74299e-01 |              +3.79804e-02 |              +3.40708e-02 |              +6.07024e-02 |              +3.74197e-01
     5 |  525764 |  2559379 |   302.1 |   635.1 |              +5.38526e-02 |              +1.43099e-02 |              +2.50288e-02 |              +1.04227e-01 |              +8.10886e-02 |              +1.43099e-02 |              +7.80642e-03 |              +2.03870e-02 |              +3.69904e-02 |              +5.10264e-03 |              +2.50288e-02 |              +2.03870e-02 |              +1.22833e-02 |              +3.41502e-02 |              +9.32035e-03 |              +1.04227e-01 |              +3.69904e-02 |              +3.41502e-02 |              +2.21250e-02 |              +2.12531e-02 |              +8.10886e-02 |              +5.10264e-03 |              +9.32035e-03 |              +2.12531e-02 |              +8.42809e-02
     6 |  827345 |  4112886 |   533.3 |  1168.3 |              +5.91459e-02 |              +1.78346e-02 |              +7.12893e-03 |              +6.52327e-02 |              +5.05271e-02 |              +1.78346e-02 |              +8.58986e-03 |              +2.41937e-03 |              +3.16693e-02 |              +8.46722e-03 |              +7.12893e-03 |              +2.41937e-03 |              +6.25629e-03 |              +3.20010e-02 |              +1.01300e-02 |              +6.52327e-02 |              +3.16693e-02 |              +3.20010e-02 |              +5.69176e-03 |              +2.25116e-03 |              +5.05271e-02 |              +8.46722e-03 |              +1.01300e-02 |              +2.25116e-03 |              +3.25966e-02
     7 | 1295895 |  6510164 |   945.5 |  2113.9 |              +3.55296e-02 |              +1.71122e-02 |              +2.71030e-03 |              +3.34740e-02 |              +3.68149e-02 |              +1.71122e-02 |              +6.80806e-03 |              +3.46523e-03 |              +2.44496e-02 |              +8.76516e-03 |              +2.71030e-03 |              +3.46523e-03 |              +5.01736e-03 |              +2.40540e-02 |              +9.21613e-03 |              +3.34740e-02 |              +2.44496e-02 |              +2.40540e-02 |              +2.40453e-03 |              +4.19734e-03 |              +3.68149e-02 |              +8.76516e-03 |              +9.21613e-03 |              +4.19734e-03 |              +2.88799e-02
