iter # | # nodes | #3D elem |  dt (s) |   t (s) |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad |              ground_plane |              ground_plane |              ground_plane |              ground_plane |              ground_plane
       |         |          |         |         |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane
     0 |   13985 |    66543 |     2.3 |     2.3 |              +2.82974e-13 |              -1.86393e-15 |              -1.32795e-15 |              -2.86436e-16 |              -1.99957e-13 |              -1.86393e-15 |              +1.03609e-13 |              -2.10393e-14 |              -2.46302e-17 |              -7.52769e-14 |              -1.32795e-15 |              -2.10393e-14 |              +1.05643e-13 |              -2.17815e-17 |              -7.68013e-14 |              -2.86436e-16 |              -2.46302e-17 |              -2.17815e-17 |              +2.69137e-14 |              -1.85691e-14 |              -1.99957e-13 |              -7.52769e-14 |              -7.68013e-14 |              -1.85691e-14 |              +2.71198e-13
     1 |   30378 |   126062 |    24.2 |    26.5 |              +6.55210e-13 |              -1.16564e-15 |              -9.32894e-15 |              +1.25630e-15 |              -5.49735e-13 |              -1.16564e-15 |              +1.38696e-13 |              -4.90799e-14 |              -1.26292e-17 |              -9.12766e-14 |              -9.32894e-15 |              -4.90799e-14 |              +1.44051e-13 |              -1.23223e-17 |              -8.63650e-14 |              +1.25630e-15 |              -1.26292e-17 |              -1.23223e-17 |              +4.99668e-14 |              -5.13103e-14 |              -5.49735e-13 |              -9.12766e-14 |              -8.63650e-14 |              -5.13103e-14 |              +6.86137e-13
     2 |   97122 |   445600 |    50.6 |    77.1 |              +1.00044e-12 |              -1.07683e-15 |              -1.01147e-14 |              -6.04461e-15 |              -9.59972e-13 |              -1.07683e-15 |              +1.36981e-13 |              -4.83827e-14 |              -1.23832e-17 |              -8.77123e-14 |              -1.01147e-14 |              -4.83827e-14 |              +1.43105e-13 |              -1.20745e-17 |              -8.40873e-14 |              -6.04461e-15 |              -1.23832e-17 |              -1.20745e-17 |              +5.79551e-14 |              -5.22393e-14 |              -9.59972e-13 |              -8.77123e-14 |              -8.40873e-14 |              -5.22393e-14 |              +1.16082e-12
     3 |  189578 |   890909 |    98.5 |   175.6 |              +1.00759e-12 |              -1.06698e-15 |              -9.97083e-15 |              -6.32189e-15 |              -9.88033e-13 |              -1.06698e-15 |              +1.36491e-13 |              -4.76834e-14 |              -1.26271e-17 |              -8.73810e-14 |              -9.97083e-15 |              -4.76834e-14 |              +1.41683e-13 |              -1.22828e-17 |              -8.34668e-14 |              -6.32189e-15 |              -1.26271e-17 |              -1.22828e-17 |              +5.73373e-14 |              -5.13172e-14 |              -9.88033e-13 |              -8.73810e-14 |              -8.34668e-14 |              -5.13172e-14 |              +1.20743e-12
     4 |  315097 |  1504984 |   172.8 |   348.5 |              +9.86570e-13 |              -1.07501e-15 |              -9.95787e-15 |              -6.11803e-15 |              -9.72311e-13 |              -1.07501e-15 |              +1.36797e-13 |              -4.78768e-14 |              -1.28154e-17 |              -8.74886e-14 |              -9.95787e-15 |              -4.78768e-14 |              +1.42363e-13 |              -1.24706e-17 |              -8.37821e-14 |              -6.11803e-15 |              -1.28154e-17 |              -1.24706e-17 |              +5.69942e-14 |              -5.09475e-14 |              -9.72311e-13 |              -8.74886e-14 |              -8.37821e-14 |              -5.09475e-14 |              +1.19644e-12
     5 |  514621 |  2503038 |   299.5 |   647.9 |              +9.65616e-13 |              -1.08202e-15 |              -9.93897e-15 |              -5.95592e-15 |              -9.53587e-13 |              -1.08202e-15 |              +1.37174e-13 |              -4.78564e-14 |              -1.29665e-17 |              -8.78606e-14 |              -9.93897e-15 |              -4.78564e-14 |              +1.42509e-13 |              -1.26142e-17 |              -8.40745e-14 |              -5.95592e-15 |              -1.29665e-17 |              -1.26142e-17 |              +5.68124e-14 |              -5.09785e-14 |              -9.53587e-13 |              -8.78606e-14 |              -8.40745e-14 |              -5.09785e-14 |              +1.18061e-12
     6 |  814868 |  4050436 |   537.0 |  1184.9 |              +9.56322e-13 |              -1.08952e-15 |              -9.96056e-15 |              -5.87247e-15 |              -9.42777e-13 |              -1.08952e-15 |              +1.37528e-13 |              -4.79112e-14 |              -1.30693e-17 |              -8.82086e-14 |              -9.96056e-15 |              -4.79112e-14 |              +1.42769e-13 |              -1.27123e-17 |              -8.44238e-14 |              -5.87247e-15 |              -1.30693e-17 |              -1.27123e-17 |              +5.68081e-14 |              -5.10370e-14 |              -9.42777e-13 |              -8.82086e-14 |              -8.44238e-14 |              -5.10370e-14 |              +1.16919e-12
     7 | 1275989 |  6409402 |   908.7 |  2093.5 |              +9.51728e-13 |              -1.09516e-15 |              -9.96047e-15 |              -5.84609e-15 |              -9.38022e-13 |              -1.09516e-15 |              +1.37835e-13 |              -4.80168e-14 |              -1.31544e-17 |              -8.84623e-14 |              -9.96047e-15 |              -4.80168e-14 |              +1.43045e-13 |              -1.27916e-17 |              -8.46414e-14 |              -5.84609e-15 |              -1.31544e-17 |              -1.27916e-17 |              +5.68910e-14 |              -5.11358e-14 |              -9.38022e-13 |              -8.84623e-14 |              -8.46414e-14 |              -5.11358e-14 |              +1.16491e-12
