iter # | # nodes | #3D elem |  dt (s) |   t (s) |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_top |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot |                Q1_pad_bot | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad | open_to_ground_launch_pad |              ground_plane |              ground_plane |              ground_plane |              ground_plane |              ground_plane
       |         |          |         |         |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane |   open_to_ground_ind_stub |                Q1_pad_top |                Q1_pad_bot | open_to_ground_launch_pad |              ground_plane
     0 |   13985 |    66543 |     2.3 |     2.3 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     1 |   30378 |   126062 |    24.2 |    26.5 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     2 |   97122 |   445600 |    50.6 |    77.1 |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         - |                         -
     3 |  189578 |   890909 |    98.5 |   175.6 |              +7.24615e-13 |              +7.96947e-16 |              +8.78679e-15 |              +7.57819e-15 |              +7.88076e-13 |              +7.96947e-16 |              +3.50866e-14 |              +2.80406e-14 |              +1.22470e-17 |              +1.59996e-14 |              +8.78679e-15 |              +2.80406e-14 |              +3.84079e-14 |              +9.70697e-18 |              +9.56366e-15 |              +7.57819e-15 |              +1.22470e-17 |              +9.70697e-18 |              +3.10415e-14 |              +3.36702e-14 |              +7.88076e-13 |              +1.59996e-14 |              +9.56366e-15 |              +3.36702e-14 |              +9.36234e-13
     4 |  315097 |  1504984 |   172.8 |   348.5 |              +3.52379e-13 |              +9.86616e-17 |              +7.85808e-16 |              +7.57819e-15 |              +4.38298e-13 |              +9.86616e-17 |              +2.20480e-15 |              +1.39645e-15 |              +4.32189e-19 |              +3.89555e-15 |              +7.85808e-16 |              +1.39645e-15 |              +2.36844e-15 |              +3.96116e-19 |              +2.89812e-15 |              +7.57819e-15 |              +4.32189e-19 |              +3.96116e-19 |              +7.98832e-15 |              +1.29181e-15 |              +4.38298e-13 |              +3.89555e-15 |              +2.89812e-15 |              +1.29181e-15 |              +5.21296e-13
     5 |  514621 |  2503038 |   299.5 |   647.9 |              +4.19723e-14 |              +1.50378e-17 |              +1.75775e-16 |              +3.65976e-16 |              +3.44457e-14 |              +1.50378e-17 |              +6.83115e-16 |              +6.99307e-16 |              +5.83249e-19 |              +4.79588e-16 |              +1.75775e-16 |              +6.99307e-16 |              +1.42259e-15 |              +5.39677e-19 |              +6.20440e-16 |              +3.65976e-16 |              +5.83249e-19 |              +5.39677e-19 |              +1.14275e-15 |              +1.29181e-15 |              +3.44457e-14 |              +4.79588e-16 |              +6.20440e-16 |              +1.29181e-15 |              +4.66102e-14
     6 |  814868 |  4050436 |   537.0 |  1184.9 |              +5.12668e-14 |              +2.25378e-17 |              +3.18649e-17 |              +4.49425e-16 |              +4.52553e-14 |              +2.25378e-17 |              +1.03702e-15 |              +2.27811e-16 |              +4.42168e-19 |              +8.27638e-16 |              +3.18649e-17 |              +2.27811e-16 |              +1.08656e-15 |              +4.29496e-19 |              +9.56949e-16 |              +4.49425e-16 |              +4.42168e-19 |              +4.29496e-19 |              +5.29153e-16 |              +3.69676e-16 |              +4.52553e-14 |              +8.27638e-16 |              +9.56949e-16 |              +3.69676e-16 |              +3.82465e-14
     7 | 1275989 |  6409402 |   908.7 |  2093.5 |              +3.48427e-14 |              +2.01436e-17 |              +2.15869e-17 |              +2.71942e-16 |              +3.42895e-14 |              +2.01436e-17 |              +1.03805e-15 |              +1.60426e-16 |              +3.38981e-19 |              +9.73640e-16 |              +2.15869e-17 |              +1.60426e-16 |              +6.82204e-16 |              +3.21014e-19 |              +8.59217e-16 |              +2.71942e-16 |              +3.38981e-19 |              +3.21014e-19 |              +1.86096e-16 |              +1.88279e-16 |              +3.42895e-14 |              +9.73640e-16 |              +8.59217e-16 |              +1.88279e-16 |              +3.15281e-14
